,Year,Month,Unemployment Rate,Date,Age,Unemployment level,Employment Level,RoC_Unemployment_level,RoC_Unemployment_rate,RoC_Employment_level
846,1994,Apr,6.5,1994-04,25 to 34 years,2238,32216,-149,0.4,-223
847,1995,Apr,5.7,1995-04,25 to 34 years,1963,32462,-275,0.8,246
848,1996,Apr,5.4,1996-04,25 to 34 years,1807,31929,-156,0.3,-533
849,1997,Apr,4.8,1997-04,25 to 34 years,1625,31979,-182,0.6,50
850,1998,Apr,4.1,1998-04,25 to 34 years,1344,31560,-281,0.7,-419
851,1999,Apr,4.1,1999-04,25 to 34 years,1310,30794,-34,0,-766
852,2000,Apr,3.5,2000-04,25 to 34 years,1165,31946,-145,0.6,1152
853,2001,Apr,4.3,2001-04,25 to 34 years,1382,30923,217,-0.8,-1023
854,2002,Apr,6.1,2002-04,25 to 34 years,1969,30331,587,-1.8,-592
855,2003,Apr,5.9,2003-04,25 to 34 years,1924,30518,-45,0.2,187
856,2004,Apr,5.5,2004-04,25 to 34 years,1758,30367,-166,0.4,-151
857,2005,Apr,5.2,2005-04,25 to 34 years,1678,30572,-80,0.3,205
858,2006,Apr,4.9,2006-04,25 to 34 years,1591,30833,-87,0.3,261
859,2007,Apr,4.4,2007-04,25 to 34 years,1446,31579,-145,0.5,746
860,2008,Apr,5.1,2008-04,25 to 34 years,1688,31614,242,-0.7,35
861,2009,Apr,9.8,2009-04,25 to 34 years,3262,30082,1574,-4.7,-1532
862,2010,Apr,10.3,2010-04,25 to 34 years,3477,30192,215,-0.5,110
863,2011,Apr,9.8,2011-04,25 to 34 years,3273,30288,-204,0.5,96
864,2012,Apr,8.2,2012-04,25 to 34 years,2757,30714,-516,1.6,426
865,2013,Apr,7.5,2013-04,25 to 34 years,2528,31141,-229,0.7,427
866,2014,Apr,6.7,2014-04,25 to 34 years,2261,31704,-267,0.8,563
867,2015,Apr,5.8,2015-04,25 to 34 years,2014,32725,-247,0.9,1021
868,2016,Apr,5.2,2016-04,25 to 34 years,1823,33424,-191,0.6,699
869,2017,Apr,4.3,2017-04,25 to 34 years,1556,34409,-267,0.9,985
870,2018,Apr,4.3,2018-04,25 to 34 years,1584,35100,28,0,691
871,2019,Apr,3.8,2019-04,25 to 34 years,1416,35545,-168,0.5,445
872,2020,Apr,14.5,2020-04,25 to 34 years,5175,30408,3759,-10.7,-5137
873,2021,Apr,6.4,2021-04,25 to 34 years,2357,34316,-2818,8.1,3908
874,2022,Apr,4,2022-04,25 to 34 years,1465,35455,-892,2.4,1139
875,2023,Apr,3.8,2023-04,25 to 34 years,1421,35866,-44,0.2,411
876,1969,May,2.6,1969-05,25 to 34 years,419,15817,-1002,1.2,-20049
877,1970,May,4,1970-05,25 to 34 years,679,16260,260,-1.4,443
878,1971,May,5.2,1971-05,25 to 34 years,908,16650,229,-1.2,390
879,1972,May,4.8,1972-05,25 to 34 years,904,17919,-4,0.4,1269
880,1973,May,4.5,1973-05,25 to 34 years,900,19278,-4,0.3,1359
881,1974,May,4.2,1974-05,25 to 34 years,898,20588,-2,0.3,1310
882,1975,May,8.4,1975-05,25 to 34 years,1903,20819,1005,-4.2,231
883,1976,May,6.8,1976-05,25 to 34 years,1639,22426,-264,1.6,1607
884,1977,May,6.3,1977-05,25 to 34 years,1609,23766,-30,0.5,1340
885,1978,May,5.4,1978-05,25 to 34 years,1427,25136,-182,0.9,1370
886,1979,May,4.9,1979-05,25 to 34 years,1348,26378,-79,0.5,1242
887,1980,May,7.2,1980-05,25 to 34 years,2109,27003,761,-2.3,625
888,1981,May,7.3,1981-05,25 to 34 years,2224,28234,115,-0.1,1231
889,1982,May,9.5,1982-05,25 to 34 years,2951,28170,727,-2.2,-64
890,1983,May,10.1,1983-05,25 to 34 years,3214,28590,263,-0.6,420
891,1984,May,7.2,1984-05,25 to 34 years,2340,30267,-874,2.9,1677
892,1985,May,7,1985-05,25 to 34 years,2332,31015,-8,0.2,748
893,1986,May,7.1,1986-05,25 to 34 years,2437,31996,105,-0.1,981
894,1987,May,6.1,1987-05,25 to 34 years,2160,33050,-277,1,1054
895,1988,May,5.3,1988-05,25 to 34 years,1878,33540,-282,0.8,490
896,1989,May,5.4,1989-05,25 to 34 years,1933,33835,55,-0.1,295
897,1990,May,5.4,1990-05,25 to 34 years,1937,34052,4,0,217
898,1991,May,6.9,1991-05,25 to 34 years,2453,33123,516,-1.5,-929
899,1992,May,7.7,1992-05,25 to 34 years,2759,32850,306,-0.8,-273
900,1993,May,6.9,1993-05,25 to 34 years,2407,32437,-352,0.8,-413
901,1994,May,6,1994-05,25 to 34 years,2055,32236,-352,0.9,-201
902,1995,May,5.6,1995-05,25 to 34 years,1922,32331,-133,0.4,95
903,1996,May,5.5,1996-05,25 to 34 years,1861,31967,-61,0.1,-364
904,1997,May,4.8,1997-05,25 to 34 years,1606,31872,-255,0.7,-95
905,1998,May,4.2,1998-05,25 to 34 years,1384,31476,-222,0.6,-396
906,1999,May,3.9,1999-05,25 to 34 years,1248,30894,-136,0.3,-582
907,2000,May,3.8,2000-05,25 to 34 years,1256,31662,8,0.1,768
908,2001,May,4.3,2001-05,25 to 34 years,1383,30971,127,-0.5,-691
909,2002,May,5.9,2002-05,25 to 34 years,1915,30340,532,-1.6,-631
910,2003,May,6.1,2003-05,25 to 34 years,1965,30391,50,-0.2,51
911,2004,May,5.6,2004-05,25 to 34 years,1810,30431,-155,0.5,40
912,2005,May,5.1,2005-05,25 to 34 years,1636,30723,-174,0.5,292
913,2006,May,4.8,2006-05,25 to 34 years,1550,30952,-86,0.3,229
914,2007,May,4.4,2007-05,25 to 34 years,1465,31594,-85,0.4,642
915,2008,May,5.2,2008-05,25 to 34 years,1722,31569,257,-0.8,-25
916,2009,May,10.3,2009-05,25 to 34 years,3450,29924,1728,-5.1,-1645
917,2010,May,10.6,2010-05,25 to 34 years,3559,30143,109,-0.3,219
918,2011,May,9.5,2011-05,25 to 34 years,3195,30537,-364,1.1,394
919,2012,May,8.2,2012-05,25 to 34 years,2754,30626,-441,1.3,89
920,2013,May,7.2,2013-05,25 to 34 years,2408,31260,-346,1,634
921,2014,May,6.6,2014-05,25 to 34 years,2234,31680,-174,0.6,420
922,2015,May,5.8,2015-05,25 to 34 years,2019,32786,-215,0.8,1106
923,2016,May,5.1,2016-05,25 to 34 years,1811,33595,-208,0.7,809
924,2017,May,4.9,2017-05,25 to 34 years,1763,34230,-48,0.2,635
925,2018,May,3.9,2018-05,25 to 34 years,1415,35277,-348,1,1047
926,2019,May,3.5,2019-05,25 to 34 years,1290,35632,-125,0.4,355
927,2020,May,13.4,2020-05,25 to 34 years,4842,31294,3552,-9.9,-4338
928,2021,May,5.8,2021-05,25 to 34 years,2111,34401,-2731,7.6,3107
929,2022,May,3.9,2022-05,25 to 34 years,1450,35535,-661,1.9,1134
930,2023,May,3.9,2023-05,25 to 34 years,1441,35814,-9,0,279
931,1969,Jun,2.9,1969-06,25 to 34 years,481,15906,-960,1,-19908
932,1970,Jun,4.4,1970-06,25 to 34 years,756,16299,275,-1.5,393
933,1971,Jun,5,1971-06,25 to 34 years,888,16713,132,-0.6,414
934,1972,Jun,4.9,1972-06,25 to 34 years,920,18047,32,0.1,1334
935,1973,Jun,4.5,1973-06,25 to 34 years,908,19416,-12,0.4,1369
936,1974,Jun,4.3,1974-06,25 to 34 years,929,20590,21,0.2,1174
937,1975,Jun,8.5,1975-06,25 to 34 years,1931,20909,1002,-4.2,319
938,1976,Jun,7.1,1976-06,25 to 34 years,1718,22486,-213,1.4,1577
939,1977,Jun,6.5,1977-06,25 to 34 years,1651,23897,-67,0.6,1411
940,1978,Jun,5,1978-06,25 to 34 years,1328,25283,-323,1.5,1386
941,1979,Jun,5,1979-06,25 to 34 years,1387,26449,59,0,1166
942,1980,Jun,7.4,1980-06,25 to 34 years,2152,26921,765,-2.4,472
943,1981,Jun,7,1981-06,25 to 34 years,2122,28284,-30,0.4,1363
944,1982,Jun,10,1982-06,25 to 34 years,3109,28050,987,-3,-234
945,1983,Jun,10.1,1983-06,25 to 34 years,3208,28680,99,-0.1,630
946,1984,Jun,6.9,1984-06,25 to 34 years,2255,30460,-953,3.2,1780
947,1985,Jun,7.1,1985-06,25 to 34 years,2360,31109,105,-0.2,649
948,1986,Jun,7,1986-06,25 to 34 years,2431,32235,71,0.1,1126
949,1987,Jun,5.9,1987-06,25 to 34 years,2093,33130,-338,1.1,895
950,1988,Jun,5.5,1988-06,25 to 34 years,1958,33457,-135,0.4,327
951,1989,Jun,5.2,1989-06,25 to 34 years,1857,33949,-101,0.3,492
952,1990,Jun,5.2,1990-06,25 to 34 years,1875,33989,18,0,40
953,1991,Jun,6.9,1991-06,25 to 34 years,2452,33078,577,-1.7,-911
954,1992,Jun,7.9,1992-06,25 to 34 years,2805,32732,353,-1,-346
955,1993,Jun,7.2,1993-06,25 to 34 years,2499,32395,-306,0.7,-337
956,1994,Jun,5.8,1994-06,25 to 34 years,1982,32211,-517,1.4,-184
957,1995,Jun,5.5,1995-06,25 to 34 years,1863,32301,-119,0.3,90
958,1996,Jun,5.1,1996-06,25 to 34 years,1707,31944,-156,0.4,-357
959,1997,Jun,4.7,1997-06,25 to 34 years,1586,31895,-121,0.4,-49
960,1998,Jun,4.3,1998-06,25 to 34 years,1412,31394,-174,0.4,-501
961,1999,Jun,4,1999-06,25 to 34 years,1273,30853,-139,0.3,-541
962,2000,Jun,3.6,2000-06,25 to 34 years,1176,31632,-97,0.4,779
963,2001,Jun,4.5,2001-06,25 to 34 years,1451,30830,275,-0.9,-802
964,2002,Jun,5.9,2002-06,25 to 34 years,1900,30392,449,-1.4,-438
965,2003,Jun,6.3,2003-06,25 to 34 years,2049,30374,149,-0.4,-18
966,2004,Jun,5.1,2004-06,25 to 34 years,1649,30559,-400,1.2,185
967,2005,Jun,5.2,2005-06,25 to 34 years,1671,30517,22,-0.1,-42
968,2006,Jun,4.6,2006-06,25 to 34 years,1495,31001,-176,0.6,484
969,2007,Jun,4.6,2007-06,25 to 34 years,1511,31634,16,0,633
970,2008,Jun,5.4,2008-06,25 to 34 years,1812,31488,301,-0.8,-146
971,2009,Jun,10,2009-06,25 to 34 years,3340,30022,1528,-4.6,-1466
972,2010,Jun,10.2,2010-06,25 to 34 years,3437,30217,97,-0.2,195
973,2011,Jun,9.6,2011-06,25 to 34 years,3243,30457,-194,0.6,240
974,2012,Jun,8.2,2012-06,25 to 34 years,2738,30652,-505,1.4,195
975,2013,Jun,7.6,2013-06,25 to 34 years,2578,31196,-160,0.6,544
976,2014,Jun,6.5,2014-06,25 to 34 years,2211,31936,-367,1.1,740
977,2015,Jun,5.6,2015-06,25 to 34 years,1930,32766,-281,0.9,830
978,2016,Jun,5.2,2016-06,25 to 34 years,1845,33712,-85,0.4,946
979,2017,Jun,4.3,2017-06,25 to 34 years,1554,34413,-291,0.9,701
980,2018,Jun,3.9,2018-06,25 to 34 years,1424,35322,-130,0.4,909
981,2019,Jun,3.5,2019-06,25 to 34 years,1308,35734,-116,0.4,412
982,2020,Jun,11.7,2020-06,25 to 34 years,4232,32047,2924,-8.2,-3687
983,2021,Jun,6.5,2021-06,25 to 34 years,2367,34238,-1865,5.2,2191
984,2022,Jun,3.5,2022-06,25 to 34 years,1278,35386,-1089,3,1148
985,2023,Jun,3.9,2023-06,25 to 34 years,1467,35755,189,-0.4,369
986,1969,Jul,2.8,1969-07,25 to 34 years,452,15917,-1015,1.1,-19838
987,1970,Jul,4.5,1970-07,25 to 34 years,774,16362,322,-1.7,445
988,1971,Jul,5.3,1971-07,25 to 34 years,935,16686,161,-0.8,324
989,1972,Jul,4.6,1972-07,25 to 34 years,883,18167,-52,0.7,1481
990,1973,Jul,4.2,1973-07,25 to 34 years,850,19566,-33,0.4,1399
991,1974,Jul,4.6,1974-07,25 to 34 years,993,20662,143,-0.4,1096
992,1975,Jul,8.1,1975-07,25 to 34 years,1855,21084,862,-3.5,422
993,1976,Jul,7.3,1976-07,25 to 34 years,1772,22573,-83,0.8,1489
994,1977,Jul,6.4,1977-07,25 to 34 years,1645,23980,-127,0.9,1407
995,1978,Jul,5.3,1978-07,25 to 34 years,1411,25294,-234,1.1,1314
996,1979,Jul,5,1979-07,25 to 34 years,1394,26606,-17,0.3,1312
997,1980,Jul,7.6,1980-07,25 to 34 years,2216,27020,822,-2.6,414
998,1981,Jul,7,1981-07,25 to 34 years,2122,28352,-94,0.6,1332
999,1982,Jul,10.1,1982-07,25 to 34 years,3153,28060,1031,-3.1,-292
1000,1983,Jul,9.4,1983-07,25 to 34 years,2979,28863,-174,0.7,803
1001,1984,Jul,7.3,1984-07,25 to 34 years,2397,30486,-582,2.1,1623
1002,1985,Jul,6.9,1985-07,25 to 34 years,2323,31239,-74,0.4,753
1003,1986,Jul,7.1,1986-07,25 to 34 years,2462,32196,139,-0.2,957
1004,1987,Jul,5.9,1987-07,25 to 34 years,2076,33254,-386,1.2,1058
1005,1988,Jul,5.3,1988-07,25 to 34 years,1877,33610,-199,0.6,356
1006,1989,Jul,5.2,1989-07,25 to 34 years,1885,34086,8,0.1,476
1007,1990,Jul,5.6,1990-07,25 to 34 years,2018,33840,133,-0.4,-246
1008,1991,Jul,6.7,1991-07,25 to 34 years,2386,33066,368,-1.1,-774
1009,1992,Jul,7.6,1992-07,25 to 34 years,2680,32664,294,-0.9,-402
1010,1993,Jul,7,1993-07,25 to 34 years,2432,32411,-248,0.6,-253
1011,1994,Jul,5.8,1994-07,25 to 34 years,1989,32142,-443,1.2,-269
1012,1995,Jul,5.3,1995-07,25 to 34 years,1803,32403,-186,0.5,261
1013,1996,Jul,5.3,1996-07,25 to 34 years,1780,32072,-23,0,-331
1014,1997,Jul,4.7,1997-07,25 to 34 years,1563,31837,-217,0.6,-235
1015,1998,Jul,4.4,1998-07,25 to 34 years,1431,31347,-132,0.3,-490
1016,1999,Jul,4.1,1999-07,25 to 34 years,1326,30764,-105,0.3,-583
1017,2000,Jul,3.9,2000-07,25 to 34 years,1276,31396,-50,0.2,632
1018,2001,Jul,4.3,2001-07,25 to 34 years,1397,30814,121,-0.4,-582
1019,2002,Jul,5.8,2002-07,25 to 34 years,1862,30381,465,-1.5,-433
1020,2003,Jul,6.1,2003-07,25 to 34 years,1990,30394,128,-0.3,13
1021,2004,Jul,5.6,2004-07,25 to 34 years,1820,30489,-170,0.5,95
1022,2005,Jul,5.1,2005-07,25 to 34 years,1644,30604,-176,0.5,115
1023,2006,Jul,4.8,2006-07,25 to 34 years,1556,31056,-88,0.3,452
1024,2007,Jul,4.6,2007-07,25 to 34 years,1524,31610,-32,0.2,554
1025,2008,Jul,5.7,2008-07,25 to 34 years,1895,31374,371,-1.1,-236
1026,2009,Jul,10.1,2009-07,25 to 34 years,3378,30049,1483,-4.4,-1325
1027,2010,Jul,9.8,2010-07,25 to 34 years,3313,30349,-65,0.3,300
1028,2011,Jul,9.6,2011-07,25 to 34 years,3240,30410,-73,0.2,61
1029,2012,Jul,8.1,2012-07,25 to 34 years,2701,30623,-539,1.5,213
1030,2013,Jul,7.5,2013-07,25 to 34 years,2519,31248,-182,0.6,625
1031,2014,Jul,6.5,2014-07,25 to 34 years,2233,31927,-286,1,679
1032,2015,Jul,5.5,2015-07,25 to 34 years,1886,32647,-347,1,720
1033,2016,Jul,5,2016-07,25 to 34 years,1790,33845,-96,0.5,1198
1034,2017,Jul,4.5,2017-07,25 to 34 years,1621,34542,-169,0.5,697
1035,2018,Jul,3.5,2018-07,25 to 34 years,1273,35521,-348,1,979
1036,2019,Jul,3.6,2019-07,25 to 34 years,1337,35553,64,-0.1,32
1037,2020,Jul,11.3,2020-07,25 to 34 years,4079,32140,2742,-7.7,-3413
1038,2021,Jul,6.1,2021-07,25 to 34 years,2233,34614,-1846,5.2,2474
1039,2022,Jul,3.6,2022-07,25 to 34 years,1320,35391,-913,2.5,777
1040,2023,Jul,3.6,2023-07,25 to 34 years,1333,36168,13,0,777
1041,1969,Aug,2.9,1969-08,25 to 34 years,470,15984,-863,0.7,-20184
1042,1970,Aug,4.5,1970-08,25 to 34 years,772,16373,302,-1.6,389
1043,1971,Aug,5.2,1971-08,25 to 34 years,927,16803,155,-0.7,430
1044,1972,Aug,4.5,1972-08,25 to 34 years,867,18234,-60,0.7,1431
1045,1973,Aug,4.4,1973-08,25 to 34 years,907,19607,40,0.1,1373
1046,1974,Aug,4.6,1974-08,25 to 34 years,1007,20770,100,-0.2,1163
1047,1975,Aug,7.6,1975-08,25 to 34 years,1750,21262,743,-3,492
1048,1976,Aug,7.2,1976-08,25 to 34 years,1754,22656,4,0.4,1394
1049,1977,Aug,6.3,1977-08,25 to 34 years,1624,24064,-130,0.9,1408
1050,1978,Aug,5.4,1978-08,25 to 34 years,1437,25251,-187,0.9,1187
1051,1979,Aug,5.3,1979-08,25 to 34 years,1499,26605,62,0.1,1354
1052,1980,Aug,7.6,1980-08,25 to 34 years,2214,27093,715,-2.3,488
1053,1981,Aug,7.1,1981-08,25 to 34 years,2165,28330,-49,0.5,1237
1054,1982,Aug,9.9,1982-08,25 to 34 years,3113,28223,948,-2.8,-107
1055,1983,Aug,9.4,1983-08,25 to 34 years,2998,28955,-115,0.5,732
1056,1984,Aug,7,1984-08,25 to 34 years,2294,30681,-704,2.4,1726
1057,1985,Aug,7,1985-08,25 to 34 years,2340,31226,46,0,545
1058,1986,Aug,6.8,1986-08,25 to 34 years,2348,32337,8,0.2,1111
1059,1987,Aug,5.8,1987-08,25 to 34 years,2051,33280,-297,1,943
1060,1988,Aug,5.6,1988-08,25 to 34 years,1982,33537,-69,0.2,257
1061,1989,Aug,4.9,1989-08,25 to 34 years,1770,34057,-212,0.7,520
1062,1990,Aug,5.7,1990-08,25 to 34 years,2060,33851,290,-0.8,-206
1063,1991,Aug,7,1991-08,25 to 34 years,2472,32972,412,-1.3,-879
1064,1992,Aug,7.8,1992-08,25 to 34 years,2763,32587,291,-0.8,-385
1065,1993,Aug,6.8,1993-08,25 to 34 years,2353,32335,-410,1,-252
1066,1994,Aug,5.8,1994-08,25 to 34 years,1997,32312,-356,1,-23
1067,1995,Aug,5.2,1995-08,25 to 34 years,1790,32382,-207,0.6,70
1068,1996,Aug,4.9,1996-08,25 to 34 years,1669,32123,-121,0.3,-259
1069,1997,Aug,4.7,1997-08,25 to 34 years,1584,31774,-85,0.2,-349
1070,1998,Aug,4.3,1998-08,25 to 34 years,1393,31337,-191,0.4,-437
1071,1999,Aug,3.9,1999-08,25 to 34 years,1262,30717,-131,0.4,-620
1072,2000,Aug,3.8,2000-08,25 to 34 years,1248,31477,-14,0.1,760
1073,2001,Aug,4.8,2001-08,25 to 34 years,1541,30773,293,-1,-704
1074,2002,Aug,5.8,2002-08,25 to 34 years,1886,30380,345,-1,-393
1075,2003,Aug,6.3,2003-08,25 to 34 years,2052,30313,166,-0.5,-67
1076,2004,Aug,5.4,2004-08,25 to 34 years,1750,30503,-302,0.9,190
1077,2005,Aug,5,2005-08,25 to 34 years,1632,30709,-118,0.4,206
1078,2006,Aug,4.4,2006-08,25 to 34 years,1439,31057,-193,0.6,348
1079,2007,Aug,4.6,2007-08,25 to 34 years,1533,31615,94,-0.2,558
1080,2008,Aug,6.2,2008-08,25 to 34 years,2090,31365,557,-1.6,-250
1081,2009,Aug,10.4,2009-08,25 to 34 years,3492,29939,1402,-4.2,-1426
1082,2010,Aug,9.7,2010-08,25 to 34 years,3273,30360,-219,0.7,421
1083,2011,Aug,9.4,2011-08,25 to 34 years,3177,30757,-96,0.3,397
1084,2012,Aug,8.2,2012-08,25 to 34 years,2728,30664,-449,1.2,-93
1085,2013,Aug,7.7,2013-08,25 to 34 years,2591,31219,-137,0.5,555
1086,2014,Aug,6.8,2014-08,25 to 34 years,2346,32029,-245,0.9,810
1087,2015,Aug,5.1,2015-08,25 to 34 years,1761,32778,-585,1.7,749
1088,2016,Aug,5.1,2016-08,25 to 34 years,1837,34035,76,0,1257
1089,2017,Aug,4.8,2017-08,25 to 34 years,1720,34385,-117,0.3,350
1090,2018,Aug,4.1,2018-08,25 to 34 years,1502,35336,-218,0.7,951
1091,2019,Aug,3.6,2019-08,25 to 34 years,1340,35950,-162,0.5,614
1092,2020,Aug,9.5,2020-08,25 to 34 years,3473,32902,2133,-5.9,-3048
1093,2021,Aug,5.6,2021-08,25 to 34 years,2047,34719,-1426,3.9,1817
1094,2022,Aug,3.8,2022-08,25 to 34 years,1391,35509,-656,1.8,790
1095,2023,Aug,3.9,2023-08,25 to 34 years,1446,35974,55,-0.1,465
1096,1969,Sep,3,1969-09,25 to 34 years,489,15951,-957,0.9,-20023
1097,1970,Sep,4.3,1970-09,25 to 34 years,733,16291,244,-1.3,340
1098,1971,Sep,5.3,1971-09,25 to 34 years,959,16983,226,-1,692
1099,1972,Sep,4.6,1972-09,25 to 34 years,893,18331,-66,0.7,1348
1100,1973,Sep,4.1,1973-09,25 to 34 years,843,19709,-50,0.5,1378
1101,1974,Sep,4.8,1974-09,25 to 34 years,1045,20838,202,-0.7,1129
1102,1975,Sep,7.8,1975-09,25 to 34 years,1806,21387,761,-3,549
1103,1976,Sep,7.3,1976-09,25 to 34 years,1786,22701,-20,0.5,1314
1104,1977,Sep,6.2,1977-09,25 to 34 years,1592,24198,-194,1.1,1497
1105,1978,Sep,5.2,1978-09,25 to 34 years,1408,25540,-184,1,1342
1106,1979,Sep,4.9,1979-09,25 to 34 years,1395,26823,-13,0.3,1283
1107,1980,Sep,7.6,1980-09,25 to 34 years,2249,27202,854,-2.7,379
1108,1981,Sep,7.2,1981-09,25 to 34 years,2202,28294,-47,0.4,1092
1109,1982,Sep,10.6,1982-09,25 to 34 years,3324,28058,1122,-3.4,-236
1110,1983,Sep,9.3,1983-09,25 to 34 years,2972,29103,-352,1.3,1045
1111,1984,Sep,6.6,1984-09,25 to 34 years,2182,30657,-790,2.7,1554
1112,1985,Sep,7.1,1985-09,25 to 34 years,2408,31567,226,-0.5,910
1113,1986,Sep,6.9,1986-09,25 to 34 years,2421,32419,13,0.2,852
1114,1987,Sep,5.6,1987-09,25 to 34 years,1975,33285,-446,1.3,866
1115,1988,Sep,5.5,1988-09,25 to 34 years,1948,33582,-27,0.1,297
1116,1989,Sep,5.3,1989-09,25 to 34 years,1916,34258,-32,0.2,676
1117,1990,Sep,5.8,1990-09,25 to 34 years,2075,33717,159,-0.5,-541
1118,1991,Sep,7.1,1991-09,25 to 34 years,2506,32930,431,-1.3,-787
1119,1992,Sep,7.8,1992-09,25 to 34 years,2742,32602,236,-0.7,-328
1120,1993,Sep,6.9,1993-09,25 to 34 years,2384,32292,-358,0.9,-310
1121,1994,Sep,5.6,1994-09,25 to 34 years,1918,32336,-466,1.3,44
1122,1995,Sep,5.5,1995-09,25 to 34 years,1870,32279,-48,0.1,-57
1123,1996,Sep,4.9,1996-09,25 to 34 years,1655,32175,-215,0.6,-104
1124,1997,Sep,4.6,1997-09,25 to 34 years,1525,31750,-130,0.3,-425
1125,1998,Sep,4.4,1998-09,25 to 34 years,1448,31239,-77,0.2,-511
1126,1999,Sep,3.9,1999-09,25 to 34 years,1258,30704,-190,0.5,-535
1127,2000,Sep,3.7,2000-09,25 to 34 years,1193,31187,-65,0.2,483
1128,2001,Sep,4.8,2001-09,25 to 34 years,1543,30797,350,-1.1,-390
1129,2002,Sep,5.7,2002-09,25 to 34 years,1829,30387,286,-0.9,-410
1130,2003,Sep,6.3,2003-09,25 to 34 years,2040,30269,211,-0.6,-118
1131,2004,Sep,5.1,2004-09,25 to 34 years,1648,30533,-392,1.2,264
1132,2005,Sep,5.3,2005-09,25 to 34 years,1723,30706,75,-0.2,173
1133,2006,Sep,4.5,2006-09,25 to 34 years,1477,31142,-246,0.8,436
1134,2007,Sep,4.8,2007-09,25 to 34 years,1602,31570,125,-0.3,428
1135,2008,Sep,6.2,2008-09,25 to 34 years,2059,31353,457,-1.4,-217
1136,2009,Sep,10.4,2009-09,25 to 34 years,3467,29788,1408,-4.2,-1565
1137,2010,Sep,9.8,2010-09,25 to 34 years,3295,30344,-172,0.6,556
1138,2011,Sep,9.5,2011-09,25 to 34 years,3227,30627,-68,0.3,283
1139,2012,Sep,8,2012-09,25 to 34 years,2699,30830,-528,1.5,203
1140,2013,Sep,7.4,2013-09,25 to 34 years,2504,31339,-195,0.6,509
1141,2014,Sep,6.3,2014-09,25 to 34 years,2142,32094,-362,1.1,755
1142,2015,Sep,5.1,2015-09,25 to 34 years,1780,32784,-362,1.2,690
1143,2016,Sep,5.2,2016-09,25 to 34 years,1867,33982,87,-0.1,1198
1144,2017,Sep,4.4,2017-09,25 to 34 years,1608,34704,-259,0.8,722
1145,2018,Sep,3.6,2018-09,25 to 34 years,1326,35562,-282,0.8,858
1146,2019,Sep,3.5,2019-09,25 to 34 years,1321,35976,-5,0.1,414
1147,2020,Sep,8.6,2020-09,25 to 34 years,3153,33309,1832,-5.1,-2667
1148,2021,Sep,5.3,2021-09,25 to 34 years,1926,34682,-1227,3.3,1373
1149,2022,Sep,3.6,2022-09,25 to 34 years,1320,35349,-606,1.7,667
1150,1969,Oct,2.9,1969-10,25 to 34 years,476,16005,-844,0.7,-19344
1151,1970,Oct,4.7,1970-10,25 to 34 years,804,16372,328,-1.8,367
1152,1971,Oct,5.4,1971-10,25 to 34 years,971,17091,167,-0.7,719
1153,1972,Oct,4.6,1972-10,25 to 34 years,882,18443,-89,0.8,1352
1154,1973,Oct,4,1973-10,25 to 34 years,833,19961,-49,0.6,1518
1155,1974,Oct,5.4,1974-10,25 to 34 years,1201,20859,368,-1.4,898
1156,1975,Oct,7.6,1975-10,25 to 34 years,1771,21574,570,-2.2,715
1157,1976,Oct,7.2,1976-10,25 to 34 years,1763,22766,-8,0.4,1192
1158,1977,Oct,6.4,1977-10,25 to 34 years,1664,24159,-99,0.8,1393
1159,1978,Oct,5.1,1978-10,25 to 34 years,1370,25747,-294,1.3,1588
1160,1979,Oct,5.1,1979-10,25 to 34 years,1452,26873,82,0,1126
1161,1980,Oct,7.5,1980-10,25 to 34 years,2210,27328,758,-2.4,455
1162,1981,Oct,7.7,1981-10,25 to 34 years,2349,28344,139,-0.2,1016
1163,1982,Oct,10.7,1982-10,25 to 34 years,3354,28058,1005,-3,-286
1164,1983,Oct,8.8,1983-10,25 to 34 years,2810,29161,-544,1.9,1103
1165,1984,Oct,6.8,1984-10,25 to 34 years,2257,30759,-553,2,1598
1166,1985,Oct,6.9,1985-10,25 to 34 years,2336,31496,79,-0.1,737
1167,1986,Oct,7,1986-10,25 to 34 years,2429,32351,93,-0.1,855
1168,1987,Oct,5.6,1987-10,25 to 34 years,1968,33350,-461,1.4,999
1169,1988,Oct,5.4,1988-10,25 to 34 years,1927,33639,-41,0.2,289
1170,1989,Oct,5.2,1989-10,25 to 34 years,1872,34113,-55,0.2,474
1171,1990,Oct,5.8,1990-10,25 to 34 years,2081,33668,209,-0.6,-445
1172,1991,Oct,7.2,1991-10,25 to 34 years,2545,32951,464,-1.4,-717
1173,1992,Oct,7.8,1992-10,25 to 34 years,2733,32460,188,-0.6,-491
1174,1993,Oct,6.7,1993-10,25 to 34 years,2301,32288,-432,1.1,-172
1175,1994,Oct,5.7,1994-10,25 to 34 years,1969,32344,-332,1,56
1176,1995,Oct,5,1995-10,25 to 34 years,1711,32366,-258,0.7,22
1177,1996,Oct,4.9,1996-10,25 to 34 years,1650,32181,-61,0.1,-185
1178,1997,Oct,4.4,1997-10,25 to 34 years,1452,31761,-198,0.5,-420
1179,1998,Oct,4.7,1998-10,25 to 34 years,1526,31126,74,-0.3,-635
1180,1999,Oct,3.9,1999-10,25 to 34 years,1245,30687,-281,0.8,-439
1181,2000,Oct,3.7,2000-10,25 to 34 years,1184,31171,-61,0.2,484
