,Year,Month,Unemployment level,Date,Age
118,1977,Mar,1669.0,1977-03,20 to 24 years
119,1978,Mar,1555.0,1978-03,20 to 24 years
120,1979,Mar,1421.0,1979-03,20 to 24 years
121,1980,Mar,1575.0,1980-03,20 to 24 years
122,1981,Mar,1888.0,1981-03,20 to 24 years
123,1982,Mar,2294.0,1982-03,20 to 24 years
124,1983,Mar,2497.0,1983-03,20 to 24 years
125,1984,Mar,1885.0,1984-03,20 to 24 years
126,1985,Mar,1767.0,1985-03,20 to 24 years
127,1986,Mar,1665.0,1986-03,20 to 24 years
128,1987,Mar,1545.0,1987-03,20 to 24 years
129,1988,Mar,1347.0,1988-03,20 to 24 years
130,1989,Mar,1142.0,1989-03,20 to 24 years
131,1990,Mar,1267.0,1990-03,20 to 24 years
132,1991,Mar,1536.0,1991-03,20 to 24 years
133,1992,Mar,1620.0,1992-03,20 to 24 years
134,1993,Mar,1540.0,1993-03,20 to 24 years
135,1994,Mar,1484.0,1994-03,20 to 24 years
136,1995,Mar,1264.0,1995-03,20 to 24 years
137,1996,Mar,1265.0,1996-03,20 to 24 years
138,1997,Mar,1197.0,1997-03,20 to 24 years
139,1998,Mar,1074.0,1998-03,20 to 24 years
140,1999,Mar,1008.0,1999-03,20 to 24 years
141,2000,Mar,1054.0,2000-03,20 to 24 years
142,2001,Mar,1118.0,2001-03,20 to 24 years
143,2002,Mar,1517.0,2002-03,20 to 24 years
144,2003,Mar,1357.0,2003-03,20 to 24 years
145,2004,Mar,1479.0,2004-03,20 to 24 years
146,2005,Mar,1385.0,2005-03,20 to 24 years
147,2006,Mar,1164.0,2006-03,20 to 24 years
148,2007,Mar,1176.0,2007-03,20 to 24 years
149,2008,Mar,1404.0,2008-03,20 to 24 years
150,2009,Mar,2125.0,2009-03,20 to 24 years
151,2010,Mar,2356.0,2010-03,20 to 24 years
152,2011,Mar,2288.0,2011-03,20 to 24 years
153,2012,Mar,2003.0,2012-03,20 to 24 years
154,2013,Mar,2025.0,2013-03,20 to 24 years
155,2014,Mar,1966.0,2014-03,20 to 24 years
156,2015,Mar,1642.0,2015-03,20 to 24 years
157,2016,Mar,1333.0,2016-03,20 to 24 years
158,2017,Mar,1109.0,2017-03,20 to 24 years
159,2018,Mar,985.0,2018-03,20 to 24 years
160,2019,Mar,1051.0,2019-03,20 to 24 years
161,2020,Mar,1220.0,2020-03,20 to 24 years
162,2021,Mar,1475.0,2021-03,20 to 24 years
163,2022,Mar,1107.0,2022-03,20 to 24 years
164,2023,Mar,1034.0,2023-03,20 to 24 years
165,1969,Apr,545.0,1969-04,20 to 24 years
166,1970,Apr,776.0,1970-04,20 to 24 years
167,1971,Apr,1116.0,1971-04,20 to 24 years
168,1972,Apr,1149.0,1972-04,20 to 24 years
169,1973,Apr,1024.0,1973-04,20 to 24 years
170,1974,Apr,1058.0,1974-04,20 to 24 years
171,1975,Apr,1970.0,1975-04,20 to 24 years
172,1976,Apr,1712.0,1976-04,20 to 24 years
173,1977,Apr,1615.0,1977-04,20 to 24 years
174,1978,Apr,1536.0,1978-04,20 to 24 years
175,1979,Apr,1364.0,1979-04,20 to 24 years
176,1980,Apr,1786.0,1980-04,20 to 24 years
177,1981,Apr,1926.0,1981-04,20 to 24 years
178,1982,Apr,2347.0,1982-04,20 to 24 years
179,1983,Apr,2459.0,1983-04,20 to 24 years
180,1984,Apr,1944.0,1984-04,20 to 24 years
181,1985,Apr,1743.0,1985-04,20 to 24 years
182,1986,Apr,1677.0,1986-04,20 to 24 years
183,1987,Apr,1527.0,1987-04,20 to 24 years
184,1988,Apr,1266.0,1988-04,20 to 24 years
185,1989,Apr,1199.0,1989-04,20 to 24 years
186,1990,Apr,1354.0,1990-04,20 to 24 years
187,1991,Apr,1481.0,1991-04,20 to 24 years
188,1992,Apr,1632.0,1992-04,20 to 24 years
189,1993,Apr,1571.0,1993-04,20 to 24 years
190,1994,Apr,1430.0,1994-04,20 to 24 years
191,1995,Apr,1229.0,1995-04,20 to 24 years
192,1996,Apr,1222.0,1996-04,20 to 24 years
193,1997,Apr,1210.0,1997-04,20 to 24 years
194,1998,Apr,1026.0,1998-04,20 to 24 years
195,1999,Apr,1039.0,1999-04,20 to 24 years
196,2000,Apr,1017.0,2000-04,20 to 24 years
197,2001,Apr,1183.0,2001-04,20 to 24 years
198,2002,Apr,1469.0,2002-04,20 to 24 years
199,2003,Apr,1526.0,2003-04,20 to 24 years
200,2004,Apr,1418.0,2004-04,20 to 24 years
201,2005,Apr,1341.0,2005-04,20 to 24 years
202,2006,Apr,1238.0,2006-04,20 to 24 years
203,2007,Apr,1175.0,2007-04,20 to 24 years
204,2008,Apr,1312.0,2008-04,20 to 24 years
205,2009,Apr,2195.0,2009-04,20 to 24 years
206,2010,Apr,2599.0,2010-04,20 to 24 years
207,2011,Apr,2274.0,2011-04,20 to 24 years
208,2012,Apr,2057.0,2012-04,20 to 24 years
209,2013,Apr,2098.0,2013-04,20 to 24 years
210,2014,Apr,1679.0,2014-04,20 to 24 years
211,2015,Apr,1493.0,2015-04,20 to 24 years
212,2016,Apr,1386.0,2016-04,20 to 24 years
213,2017,Apr,1122.0,2017-04,20 to 24 years
214,2018,Apr,1018.0,2018-04,20 to 24 years
215,2019,Apr,975.0,2019-04,20 to 24 years
216,2020,Apr,3431.0,2020-04,20 to 24 years
217,2021,Apr,1526.0,2021-04,20 to 24 years
218,2022,Apr,1013.0,2022-04,20 to 24 years
219,2023,Apr,843.0,2023-04,20 to 24 years
220,1969,May,527.0,1969-05,20 to 24 years
221,1970,May,813.0,1970-05,20 to 24 years
222,1971,May,1182.0,1971-05,20 to 24 years
223,1972,May,1137.0,1972-05,20 to 24 years
224,1973,May,1000.0,1973-05,20 to 24 years
225,1974,May,1138.0,1974-05,20 to 24 years
226,1975,May,2037.0,1975-05,20 to 24 years
227,1976,May,1644.0,1976-05,20 to 24 years
228,1977,May,1617.0,1977-05,20 to 24 years
229,1978,May,1396.0,1978-05,20 to 24 years
230,1979,May,1390.0,1979-05,20 to 24 years
231,1980,May,1994.0,1980-05,20 to 24 years
232,1981,May,2075.0,1981-05,20 to 24 years
233,1982,May,2294.0,1982-05,20 to 24 years
234,1983,May,2400.0,1983-05,20 to 24 years
235,1984,May,1786.0,1984-05,20 to 24 years
236,1985,May,1756.0,1985-05,20 to 24 years
237,1986,May,1729.0,1986-05,20 to 24 years
238,1987,May,1482.0,1987-05,20 to 24 years
239,1988,May,1308.0,1988-05,20 to 24 years
240,1989,May,1127.0,1989-05,20 to 24 years
241,1990,May,1262.0,1990-05,20 to 24 years
242,1991,May,1594.0,1991-05,20 to 24 years
243,1992,May,1690.0,1992-05,20 to 24 years
244,1993,May,1661.0,1993-05,20 to 24 years
245,1994,May,1362.0,1994-05,20 to 24 years
246,1995,May,1187.0,1995-05,20 to 24 years
247,1996,May,1288.0,1996-05,20 to 24 years
248,1997,May,1124.0,1997-05,20 to 24 years
249,1998,May,1036.0,1998-05,20 to 24 years
250,1999,May,1027.0,1999-05,20 to 24 years
251,2000,May,1127.0,2000-05,20 to 24 years
252,2001,May,1164.0,2001-05,20 to 24 years
253,2002,May,1340.0,2002-05,20 to 24 years
254,2003,May,1565.0,2003-05,20 to 24 years
255,2004,May,1471.0,2004-05,20 to 24 years
256,2005,May,1328.0,2005-05,20 to 24 years
257,2006,May,1223.0,2006-05,20 to 24 years
258,2007,May,1082.0,2007-05,20 to 24 years
259,2008,May,1550.0,2008-05,20 to 24 years
260,2009,May,2258.0,2009-05,20 to 24 years
261,2010,May,2206.0,2010-05,20 to 24 years
262,2011,May,2253.0,2011-05,20 to 24 years
263,2012,May,2007.0,2012-05,20 to 24 years
264,2013,May,2052.0,2013-05,20 to 24 years
265,2014,May,1745.0,2014-05,20 to 24 years
266,2015,May,1605.0,2015-05,20 to 24 years
267,2016,May,1269.0,2016-05,20 to 24 years
268,2017,May,997.0,2017-05,20 to 24 years
269,2018,May,1053.0,2018-05,20 to 24 years
270,2019,May,1067.0,2019-05,20 to 24 years
271,2020,May,3179.0,2020-05,20 to 24 years
272,2021,May,1497.0,2021-05,20 to 24 years
273,2022,May,996.0,2022-05,20 to 24 years
274,2023,May,990.0,2023-05,20 to 24 years
275,1969,Jun,557.0,1969-06,20 to 24 years
276,1970,Jun,817.0,1970-06,20 to 24 years
277,1971,Jun,1160.0,1971-06,20 to 24 years
278,1972,Jun,1103.0,1972-06,20 to 24 years
279,1973,Jun,1028.0,1973-06,20 to 24 years
280,1974,Jun,1155.0,1974-06,20 to 24 years
281,1975,Jun,1822.0,1975-06,20 to 24 years
282,1976,Jun,1702.0,1976-06,20 to 24 years
283,1977,Jun,1624.0,1977-06,20 to 24 years
284,1978,Jun,1453.0,1978-06,20 to 24 years
285,1979,Jun,1404.0,1979-06,20 to 24 years
286,1980,Jun,1936.0,1980-06,20 to 24 years
287,1981,Jun,1960.0,1981-06,20 to 24 years
288,1982,Jun,2358.0,1982-06,20 to 24 years
289,1983,Jun,2351.0,1983-06,20 to 24 years
290,1984,Jun,1740.0,1984-06,20 to 24 years
291,1985,Jun,1739.0,1985-06,20 to 24 years
292,1986,Jun,1631.0,1986-06,20 to 24 years
293,1987,Jun,1495.0,1987-06,20 to 24 years
294,1988,Jun,1210.0,1988-06,20 to 24 years
295,1989,Jun,1247.0,1989-06,20 to 24 years
296,1990,Jun,1230.0,1990-06,20 to 24 years
297,1991,Jun,1601.0,1991-06,20 to 24 years
298,1992,Jun,1660.0,1992-06,20 to 24 years
299,1993,Jun,1528.0,1993-06,20 to 24 years
300,1994,Jun,1360.0,1994-06,20 to 24 years
301,1995,Jun,1245.0,1995-06,20 to 24 years
302,1996,Jun,1230.0,1996-06,20 to 24 years
303,1997,Jun,1123.0,1997-06,20 to 24 years
304,1998,Jun,1096.0,1998-06,20 to 24 years
305,1999,Jun,1064.0,1999-06,20 to 24 years
306,2000,Jun,1075.0,2000-06,20 to 24 years
307,2001,Jun,1186.0,2001-06,20 to 24 years
308,2002,Jun,1362.0,2002-06,20 to 24 years
309,2003,Jun,1564.0,2003-06,20 to 24 years
310,2004,Jun,1467.0,2004-06,20 to 24 years
