,Year,Month,Unemployment Rate,Date,Age,Unnamed: 0,Unemployment level
1345,2002,Jan,4.6,2002-01,35 to 44 years,33,1701.0
1346,2003,Jan,4.6,2003-01,35 to 44 years,34,1701.0
1347,2004,Jan,4.5,2004-01,35 to 44 years,35,1620.0
1348,2005,Jan,4.1,2005-01,35 to 44 years,36,1473.0
1349,2006,Jan,3.7,2006-01,35 to 44 years,37,1320.0
1350,2007,Jan,3.4,2007-01,35 to 44 years,38,1222.0
1351,2008,Jan,3.6,2008-01,35 to 44 years,39,1268.0
1352,2009,Jan,6.7,2009-01,35 to 44 years,40,2319.0
1353,2010,Jan,8.5,2010-01,35 to 44 years,41,2869.0
1354,2011,Jan,7.4,2011-01,35 to 44 years,42,2419.0
1355,2012,Jan,6.8,2012-01,35 to 44 years,43,2244.0
1356,2013,Jan,6.5,2013-01,35 to 44 years,44,2124.0
1357,2014,Jan,5.0,2014-01,35 to 44 years,45,1633.0
1358,2015,Jan,4.4,2015-01,35 to 44 years,46,1425.0
1359,2016,Jan,3.9,2016-01,35 to 44 years,47,1272.0
1360,2017,Jan,4.0,2017-01,35 to 44 years,48,1302.0
1361,2018,Jan,3.1,2018-01,35 to 44 years,49,1028.0
1362,2019,Jan,2.9,2019-01,35 to 44 years,50,985.0
1363,2020,Jan,2.8,2020-01,35 to 44 years,51,956.0
1364,2021,Jan,5.5,2021-01,35 to 44 years,52,1887.0
1365,2022,Jan,3.5,2022-01,35 to 44 years,53,1239.0
1366,2023,Jan,2.6,2023-01,35 to 44 years,54,927.0
1367,1969,Feb,2.1,1969-02,35 to 44 years,55,342.0
1368,1970,Feb,2.6,1970-02,35 to 44 years,56,425.0
1369,1971,Feb,3.8,1971-02,35 to 44 years,57,627.0
1370,1972,Feb,3.3,1972-02,35 to 44 years,58,546.0
1371,1973,Feb,2.9,1973-02,35 to 44 years,59,470.0
1372,1974,Feb,3.0,1974-02,35 to 44 years,60,493.0
1373,1975,Feb,5.4,1975-02,35 to 44 years,61,907.0
1374,1976,Feb,5.0,1976-02,35 to 44 years,62,852.0
1375,1977,Feb,4.8,1977-02,35 to 44 years,63,839.0
1376,1978,Feb,3.7,1978-02,35 to 44 years,64,683.0
1377,1979,Feb,3.5,1979-02,35 to 44 years,65,672.0
1378,1980,Feb,4.1,1980-02,35 to 44 years,66,818.0
1379,1981,Feb,4.9,1981-02,35 to 44 years,67,1015.0
1380,1982,Feb,6.2,1982-02,35 to 44 years,68,1362.0
1381,1983,Feb,7.8,1983-02,35 to 44 years,69,1800.0
1382,1984,Feb,5.4,1984-02,35 to 44 years,70,1335.0
1383,1985,Feb,5.2,1985-02,35 to 44 years,71,1320.0
1384,1986,Feb,5.3,1986-02,35 to 44 years,72,1419.0
1385,1987,Feb,4.7,1987-02,35 to 44 years,73,1332.0
1386,1988,Feb,4.3,1988-02,35 to 44 years,74,1254.0
1387,1989,Feb,3.8,1989-02,35 to 44 years,75,1140.0
1388,1990,Feb,3.7,1990-02,35 to 44 years,76,1183.0
1389,1991,Feb,5.0,1991-02,35 to 44 years,77,1645.0
1390,1992,Feb,5.9,1992-02,35 to 44 years,78,1993.0
1391,1993,Feb,5.6,1993-02,35 to 44 years,79,1932.0
1392,1994,Feb,5.0,1994-02,35 to 44 years,80,1737.0
1393,1995,Feb,4.2,1995-02,35 to 44 years,81,1494.0
1394,1996,Feb,4.1,1996-02,35 to 44 years,82,1466.0
1395,1997,Feb,4.2,1997-02,35 to 44 years,83,1540.0
1396,1998,Feb,3.4,1998-02,35 to 44 years,84,1291.0
1397,1999,Feb,3.2,1999-02,35 to 44 years,85,1203.0
1398,2000,Feb,3.1,2000-02,35 to 44 years,86,1181.0
1399,2001,Feb,3.1,2001-02,35 to 44 years,87,1157.0
1400,2002,Feb,4.4,2002-02,35 to 44 years,88,1627.0
1401,2003,Feb,5.2,2003-02,35 to 44 years,89,1904.0
1402,2004,Feb,4.5,2004-02,35 to 44 years,90,1635.0
1403,2005,Feb,4.3,2005-02,35 to 44 years,91,1542.0
1404,2006,Feb,3.6,2006-02,35 to 44 years,92,1279.0
1405,2007,Feb,3.3,2007-02,35 to 44 years,93,1178.0
1406,2008,Feb,3.6,2008-02,35 to 44 years,94,1269.0
1407,2009,Feb,6.9,2009-02,35 to 44 years,95,2382.0
1408,2010,Feb,8.8,2010-02,35 to 44 years,96,2946.0
1409,2011,Feb,7.4,2011-02,35 to 44 years,97,2431.0
1410,2012,Feb,6.8,2012-02,35 to 44 years,98,2231.0
1411,2013,Feb,6.2,2013-02,35 to 44 years,99,2013.0
1412,2014,Feb,5.0,2014-02,35 to 44 years,100,1638.0
1413,2015,Feb,4.4,2015-02,35 to 44 years,101,1431.0
1414,2016,Feb,3.7,2016-02,35 to 44 years,102,1228.0
1415,2017,Feb,4.1,2017-02,35 to 44 years,103,1363.0
1416,2018,Feb,3.2,2018-02,35 to 44 years,104,1063.0
1417,2019,Feb,2.6,2019-02,35 to 44 years,105,895.0
1418,2020,Feb,2.8,2020-02,35 to 44 years,106,962.0
1419,2021,Feb,5.6,2021-02,35 to 44 years,107,1896.0
1420,2022,Feb,3.3,2022-02,35 to 44 years,108,1175.0
1421,2023,Feb,2.6,2023-02,35 to 44 years,109,936.0
1422,1969,Mar,2.0,1969-03,35 to 44 years,110,334.0
1423,1970,Mar,3.0,1970-03,35 to 44 years,111,488.0
1424,1971,Mar,3.6,1971-03,35 to 44 years,112,588.0
1425,1972,Mar,3.8,1972-03,35 to 44 years,113,622.0
1426,1973,Mar,2.9,1973-03,35 to 44 years,114,478.0
1427,1974,Mar,2.8,1974-03,35 to 44 years,115,473.0
1428,1975,Mar,5.8,1975-03,35 to 44 years,116,969.0
1429,1976,Mar,4.7,1976-03,35 to 44 years,117,808.0
1430,1977,Mar,4.7,1977-03,35 to 44 years,118,831.0
1431,1978,Mar,3.8,1978-03,35 to 44 years,119,697.0
1432,1979,Mar,3.4,1979-03,35 to 44 years,120,669.0
1433,1980,Mar,4.1,1980-03,35 to 44 years,121,829.0
1434,1981,Mar,5.0,1981-03,35 to 44 years,122,1045.0
1435,1982,Mar,6.4,1982-03,35 to 44 years,123,1399.0
1436,1983,Mar,7.5,1983-03,35 to 44 years,124,1745.0
1437,1984,Mar,5.3,1984-03,35 to 44 years,125,1307.0
1438,1985,Mar,5.3,1985-03,35 to 44 years,126,1358.0
1439,1986,Mar,5.2,1986-03,35 to 44 years,127,1405.0
1440,1987,Mar,4.9,1987-03,35 to 44 years,128,1379.0
1441,1988,Mar,4.1,1988-03,35 to 44 years,129,1195.0
1442,1989,Mar,3.6,1989-03,35 to 44 years,130,1103.0
1443,1990,Mar,3.7,1990-03,35 to 44 years,131,1178.0
1444,1991,Mar,5.2,1991-03,35 to 44 years,132,1715.0
1445,1992,Mar,5.7,1992-03,35 to 44 years,133,1921.0
1446,1993,Mar,5.4,1993-03,35 to 44 years,134,1849.0
1447,1994,Mar,5.0,1994-03,35 to 44 years,135,1764.0
1448,1995,Mar,4.1,1995-03,35 to 44 years,136,1456.0
1449,1996,Mar,4.1,1996-03,35 to 44 years,137,1496.0
1450,1997,Mar,4.0,1997-03,35 to 44 years,138,1494.0
1451,1998,Mar,3.5,1998-03,35 to 44 years,139,1313.0
1452,1999,Mar,2.9,1999-03,35 to 44 years,140,1081.0
1453,2000,Mar,3.2,2000-03,35 to 44 years,141,1189.0
1454,2001,Mar,3.2,2001-03,35 to 44 years,142,1195.0
1455,2002,Mar,4.5,2002-03,35 to 44 years,143,1655.0
1456,2003,Mar,4.8,2003-03,35 to 44 years,144,1767.0
1457,2004,Mar,4.8,2004-03,35 to 44 years,145,1725.0
1458,2005,Mar,3.8,2005-03,35 to 44 years,146,1384.0
1459,2006,Mar,3.8,2006-03,35 to 44 years,147,1367.0
1460,2007,Mar,3.2,2007-03,35 to 44 years,148,1146.0
1461,2008,Mar,3.8,2008-03,35 to 44 years,149,1345.0
1462,2009,Mar,7.3,2009-03,35 to 44 years,150,2499.0
1463,2010,Mar,8.6,2010-03,35 to 44 years,151,2899.0
1464,2011,Mar,7.2,2011-03,35 to 44 years,152,2384.0
1465,2012,Mar,6.4,2012-03,35 to 44 years,153,2108.0
1466,2013,Mar,6.1,2013-03,35 to 44 years,154,1977.0
1467,2014,Mar,5.2,2014-03,35 to 44 years,155,1682.0
1468,2015,Mar,4.1,2015-03,35 to 44 years,156,1333.0
1469,2016,Mar,3.8,2016-03,35 to 44 years,157,1241.0
1470,2017,Mar,3.9,2017-03,35 to 44 years,158,1272.0
1471,2018,Mar,3.2,2018-03,35 to 44 years,159,1088.0
1472,2019,Mar,2.9,2019-03,35 to 44 years,160,964.0
1473,2020,Mar,3.5,2020-03,35 to 44 years,161,1194.0
1474,2021,Mar,5.1,2021-03,35 to 44 years,162,1747.0
1475,2022,Mar,2.8,2022-03,35 to 44 years,163,989.0
1476,2023,Mar,2.5,2023-03,35 to 44 years,164,927.0
1477,1969,Apr,2.1,1969-04,35 to 44 years,165,350.0
1478,1970,Apr,2.8,1970-04,35 to 44 years,166,462.0
1479,1971,Apr,3.8,1971-04,35 to 44 years,167,624.0
1480,1972,Apr,3.6,1972-04,35 to 44 years,168,583.0
1481,1973,Apr,2.7,1973-04,35 to 44 years,169,449.0
1482,1974,Apr,3.1,1974-04,35 to 44 years,170,512.0
1483,1975,Apr,6.2,1975-04,35 to 44 years,171,1050.0
1484,1976,Apr,4.9,1976-04,35 to 44 years,172,846.0
1485,1977,Apr,4.3,1977-04,35 to 44 years,173,763.0
1486,1978,Apr,3.5,1978-04,35 to 44 years,174,649.0
1487,1979,Apr,3.5,1979-04,35 to 44 years,175,672.0
1488,1980,Apr,4.4,1980-04,35 to 44 years,176,885.0
1489,1981,Apr,5.0,1981-04,35 to 44 years,177,1042.0
1490,1982,Apr,6.4,1982-04,35 to 44 years,178,1406.0
1491,1983,Apr,7.4,1983-04,35 to 44 years,179,1725.0
1492,1984,Apr,5.6,1984-04,35 to 44 years,180,1379.0
1493,1985,Apr,5.2,1985-04,35 to 44 years,181,1350.0
1494,1986,Apr,5.2,1986-04,35 to 44 years,182,1400.0
1495,1987,Apr,4.5,1987-04,35 to 44 years,183,1262.0
1496,1988,Apr,3.9,1988-04,35 to 44 years,184,1133.0
1497,1989,Apr,3.8,1989-04,35 to 44 years,185,1145.0
1498,1990,Apr,3.8,1990-04,35 to 44 years,186,1214.0
1499,1991,Apr,5.3,1991-04,35 to 44 years,187,1757.0
1500,1992,Apr,5.6,1992-04,35 to 44 years,188,1895.0
1501,1993,Apr,5.5,1993-04,35 to 44 years,189,1893.0
1502,1994,Apr,4.5,1994-04,35 to 44 years,190,1591.0
1503,1995,Apr,4.5,1995-04,35 to 44 years,191,1613.0
1504,1996,Apr,4.2,1996-04,35 to 44 years,192,1544.0
1505,1997,Apr,3.8,1997-04,35 to 44 years,193,1419.0
1506,1998,Apr,3.3,1998-04,35 to 44 years,194,1228.0
1507,1999,Apr,3.1,1999-04,35 to 44 years,195,1190.0
1508,2000,Apr,3.0,2000-04,35 to 44 years,196,1144.0
1509,2001,Apr,3.1,2001-04,35 to 44 years,197,1152.0
1510,2002,Apr,4.7,2002-04,35 to 44 years,198,1732.0
1511,2003,Apr,4.8,2003-04,35 to 44 years,199,1778.0
1512,2004,Apr,4.4,2004-04,35 to 44 years,200,1596.0
1513,2005,Apr,3.8,2005-04,35 to 44 years,201,1387.0
1514,2006,Apr,3.8,2006-04,35 to 44 years,202,1350.0
1515,2007,Apr,3.4,2007-04,35 to 44 years,203,1208.0
1516,2008,Apr,3.9,2008-04,35 to 44 years,204,1376.0
1517,2009,Apr,7.7,2009-04,35 to 44 years,205,2645.0
1518,2010,Apr,8.2,2010-04,35 to 44 years,206,2748.0
1519,2011,Apr,7.4,2011-04,35 to 44 years,207,2436.0
1520,2012,Apr,6.6,2012-04,35 to 44 years,208,2156.0
1521,2013,Apr,5.9,2013-04,35 to 44 years,209,1908.0
1522,2014,Apr,4.9,2014-04,35 to 44 years,210,1594.0
1523,2015,Apr,4.3,2015-04,35 to 44 years,211,1405.0
1524,2016,Apr,4.1,2016-04,35 to 44 years,212,1334.0
1525,2017,Apr,3.6,2017-04,35 to 44 years,213,1199.0
1526,2018,Apr,3.0,2018-04,35 to 44 years,214,1017.0
1527,2019,Apr,2.7,2019-04,35 to 44 years,215,920.0
1528,2020,Apr,11.5,2020-04,35 to 44 years,216,3860.0
1529,2021,Apr,5.0,2021-04,35 to 44 years,217,1694.0
1530,2022,Apr,2.9,2022-04,35 to 44 years,218,1037.0
1531,2023,Apr,2.9,2023-04,35 to 44 years,219,1064.0
1532,1969,May,2.3,1969-05,35 to 44 years,220,379.0
1533,1970,May,3.0,1970-05,35 to 44 years,221,490.0
1534,1971,May,3.7,1971-05,35 to 44 years,222,601.0
1535,1972,May,3.7,1972-05,35 to 44 years,223,614.0
1536,1973,May,2.7,1973-05,35 to 44 years,224,445.0
1537,1974,May,3.1,1974-05,35 to 44 years,225,521.0
1538,1975,May,6.0,1975-05,35 to 44 years,226,1012.0
1539,1976,May,4.5,1976-05,35 to 44 years,227,781.0
1540,1977,May,4.4,1977-05,35 to 44 years,228,794.0
1541,1978,May,4.0,1978-05,35 to 44 years,229,752.0
1542,1979,May,3.4,1979-05,35 to 44 years,230,661.0
1543,1980,May,4.8,1980-05,35 to 44 years,231,978.0
1544,1981,May,4.5,1981-05,35 to 44 years,232,949.0
1545,1982,May,6.6,1982-05,35 to 44 years,233,1482.0
1546,1983,May,7.6,1983-05,35 to 44 years,234,1785.0
1547,1984,May,5.3,1984-05,35 to 44 years,235,1322.0
1548,1985,May,5.2,1985-05,35 to 44 years,236,1336.0
1549,1986,May,5.2,1986-05,35 to 44 years,237,1416.0
1550,1987,May,4.4,1987-05,35 to 44 years,238,1261.0
1551,1988,May,4.2,1988-05,35 to 44 years,239,1231.0
1552,1989,May,3.6,1989-05,35 to 44 years,240,1092.0
1553,1990,May,3.8,1990-05,35 to 44 years,241,1215.0
1554,1991,May,5.4,1991-05,35 to 44 years,242,1778.0
1555,1992,May,5.8,1992-05,35 to 44 years,243,1972.0
1556,1993,May,5.5,1993-05,35 to 44 years,244,1889.0
1557,1994,May,4.4,1994-05,35 to 44 years,245,1541.0
1558,1995,May,4.6,1995-05,35 to 44 years,246,1626.0
1559,1996,May,4.0,1996-05,35 to 44 years,247,1466.0
1560,1997,May,3.7,1997-05,35 to 44 years,248,1353.0
1561,1998,May,3.4,1998-05,35 to 44 years,249,1267.0
1562,1999,May,3.2,1999-05,35 to 44 years,250,1215.0
1563,2000,May,3.0,2000-05,35 to 44 years,251,1141.0
1564,2001,May,3.4,2001-05,35 to 44 years,252,1270.0
1565,2002,May,4.7,2002-05,35 to 44 years,253,1763.0
1566,2003,May,5.1,2003-05,35 to 44 years,254,1880.0
1567,2004,May,4.3,2004-05,35 to 44 years,255,1546.0
1568,2005,May,3.9,2005-05,35 to 44 years,256,1408.0
1569,2006,May,3.5,2006-05,35 to 44 years,257,1264.0
1570,2007,May,3.3,2007-05,35 to 44 years,258,1178.0
1571,2008,May,4.2,2008-05,35 to 44 years,259,1476.0
1572,2009,May,8.1,2009-05,35 to 44 years,260,2780.0
1573,2010,May,7.9,2010-05,35 to 44 years,261,2648.0
1574,2011,May,7.5,2011-05,35 to 44 years,262,2452.0
1575,2012,May,6.7,2012-05,35 to 44 years,263,2189.0
1576,2013,May,6.0,2013-05,35 to 44 years,264,1972.0
1577,2014,May,5.0,2014-05,35 to 44 years,265,1630.0
1578,2015,May,4.5,2015-05,35 to 44 years,266,1455.0
1579,2016,May,3.6,2016-05,35 to 44 years,267,1168.0
1580,2017,May,3.4,2017-05,35 to 44 years,268,1113.0
1581,2018,May,2.9,2018-05,35 to 44 years,269,955.0
1582,2019,May,2.6,2019-05,35 to 44 years,270,892.0
1583,2020,May,10.1,2020-05,35 to 44 years,271,3384.0
1584,2021,May,5.0,2021-05,35 to 44 years,272,1717.0
1585,2022,May,2.9,2022-05,35 to 44 years,273,1045.0
1586,2023,May,2.9,2023-05,35 to 44 years,274,1052.0
1587,1969,Jun,2.2,1969-06,35 to 44 years,275,368.0
1588,1970,Jun,3.0,1970-06,35 to 44 years,276,500.0
1589,1971,Jun,3.8,1971-06,35 to 44 years,277,615.0
1590,1972,Jun,3.6,1972-06,35 to 44 years,278,591.0
1591,1973,Jun,2.7,1973-06,35 to 44 years,279,442.0
1592,1974,Jun,3.2,1974-06,35 to 44 years,280,532.0
1593,1975,Jun,5.8,1975-06,35 to 44 years,281,978.0
1594,1976,Jun,4.8,1976-06,35 to 44 years,282,834.0
1595,1977,Jun,4.5,1977-06,35 to 44 years,283,809.0
1596,1978,Jun,3.7,1978-06,35 to 44 years,284,701.0
1597,1979,Jun,3.4,1979-06,35 to 44 years,285,666.0
1598,1980,Jun,4.8,1980-06,35 to 44 years,286,986.0
1599,1981,Jun,4.8,1981-06,35 to 44 years,287,1009.0
1600,1982,Jun,6.6,1982-06,35 to 44 years,288,1483.0
1601,1983,Jun,7.4,1983-06,35 to 44 years,289,1749.0
1602,1984,Jun,5.2,1984-06,35 to 44 years,290,1305.0
1603,1985,Jun,5.6,1985-06,35 to 44 years,291,1453.0
1604,1986,Jun,5.3,1986-06,35 to 44 years,292,1429.0
1605,1987,Jun,4.4,1987-06,35 to 44 years,293,1238.0
1606,1988,Jun,3.7,1988-06,35 to 44 years,294,1095.0
1607,1989,Jun,3.4,1989-06,35 to 44 years,295,1043.0
1608,1990,Jun,4.0,1990-06,35 to 44 years,296,1270.0
1609,1991,Jun,5.2,1991-06,35 to 44 years,297,1752.0
1610,1992,Jun,5.9,1992-06,35 to 44 years,298,1999.0
1611,1993,Jun,5.5,1993-06,35 to 44 years,299,1907.0
1612,1994,Jun,4.6,1994-06,35 to 44 years,300,1615.0
1613,1995,Jun,4.4,1995-06,35 to 44 years,301,1570.0
1614,1996,Jun,3.9,1996-06,35 to 44 years,302,1437.0
1615,1997,Jun,3.7,1997-06,35 to 44 years,303,1392.0
1616,1998,Jun,3.4,1998-06,35 to 44 years,304,1264.0
1617,1999,Jun,3.3,1999-06,35 to 44 years,305,1251.0
1618,2000,Jun,3.1,2000-06,35 to 44 years,306,1163.0
1619,2001,Jun,3.5,2001-06,35 to 44 years,307,1289.0
1620,2002,Jun,4.3,2002-06,35 to 44 years,308,1581.0
1621,2003,Jun,5.3,2003-06,35 to 44 years,309,1956.0
1622,2004,Jun,4.6,2004-06,35 to 44 years,310,1680.0
1623,2005,Jun,3.8,2005-06,35 to 44 years,311,1382.0
1624,2006,Jun,3.5,2006-06,35 to 44 years,312,1238.0
1625,2007,Jun,3.3,2007-06,35 to 44 years,313,1164.0
1626,2008,Jun,4.4,2008-06,35 to 44 years,314,1558.0
1627,2009,Jun,8.1,2009-06,35 to 44 years,315,2801.0
1628,2010,Jun,7.8,2010-06,35 to 44 years,316,2588.0
1629,2011,Jun,7.7,2011-06,35 to 44 years,317,2517.0
1630,2012,Jun,7.0,2012-06,35 to 44 years,318,2306.0
1631,2013,Jun,5.9,2013-06,35 to 44 years,319,1934.0
1632,2014,Jun,4.7,2014-06,35 to 44 years,320,1512.0
1633,2015,Jun,4.0,2015-06,35 to 44 years,321,1295.0
1634,2016,Jun,3.8,2016-06,35 to 44 years,322,1242.0
1635,2017,Jun,3.2,2017-06,35 to 44 years,323,1074.0
1636,2018,Jun,3.0,2018-06,35 to 44 years,324,1003.0
1637,2019,Jun,2.7,2019-06,35 to 44 years,325,912.0
1638,2020,Jun,9.0,2020-06,35 to 44 years,326,3057.0
1639,2021,Jun,5.3,2021-06,35 to 44 years,327,1830.0
1640,2022,Jun,3.2,2022-06,35 to 44 years,328,1141.0
1641,2023,Jun,2.9,2023-06,35 to 44 years,329,1070.0
1642,1969,Jul,2.2,1969-07,35 to 44 years,330,363.0
1643,1970,Jul,3.1,1970-07,35 to 44 years,331,509.0
1644,1971,Jul,4.0,1971-07,35 to 44 years,332,648.0
1645,1972,Jul,3.7,1972-07,35 to 44 years,333,612.0
1646,1973,Jul,2.5,1973-07,35 to 44 years,334,417.0
1647,1974,Jul,3.1,1974-07,35 to 44 years,335,531.0
1648,1975,Jul,5.3,1975-07,35 to 44 years,336,900.0
1649,1976,Jul,5.2,1976-07,35 to 44 years,337,891.0
1650,1977,Jul,4.4,1977-07,35 to 44 years,338,795.0
1651,1978,Jul,3.7,1978-07,35 to 44 years,339,703.0
1652,1979,Jul,3.3,1979-07,35 to 44 years,340,656.0
1653,1980,Jul,5.2,1980-07,35 to 44 years,341,1070.0
1654,1981,Jul,4.6,1981-07,35 to 44 years,342,965.0
1655,1982,Jul,6.7,1982-07,35 to 44 years,343,1517.0
1656,1983,Jul,7.1,1983-07,35 to 44 years,344,1688.0
1657,1984,Jul,5.4,1984-07,35 to 44 years,345,1341.0
1658,1985,Jul,5.2,1985-07,35 to 44 years,346,1358.0
1659,1986,Jul,5.0,1986-07,35 to 44 years,347,1356.0
1660,1987,Jul,4.6,1987-07,35 to 44 years,348,1298.0
1661,1988,Jul,3.9,1988-07,35 to 44 years,349,1153.0
1662,1989,Jul,3.8,1989-07,35 to 44 years,350,1151.0
1663,1990,Jul,4.2,1990-07,35 to 44 years,351,1350.0
1664,1991,Jul,5.0,1991-07,35 to 44 years,352,1680.0
1665,1992,Jul,5.9,1992-07,35 to 44 years,353,2010.0
1666,1993,Jul,5.3,1993-07,35 to 44 years,354,1853.0
1667,1994,Jul,4.6,1994-07,35 to 44 years,355,1616.0
1668,1995,Jul,4.5,1995-07,35 to 44 years,356,1593.0
1669,1996,Jul,4.1,1996-07,35 to 44 years,357,1516.0
1670,1997,Jul,3.6,1997-07,35 to 44 years,358,1354.0
1671,1998,Jul,3.3,1998-07,35 to 44 years,359,1225.0
1672,1999,Jul,3.1,1999-07,35 to 44 years,360,1172.0
1673,2000,Jul,3.1,2000-07,35 to 44 years,361,1148.0
1674,2001,Jul,3.7,2001-07,35 to 44 years,362,1366.0
1675,2002,Jul,4.6,2002-07,35 to 44 years,363,1672.0
1676,2003,Jul,5.2,2003-07,35 to 44 years,364,1889.0
1677,2004,Jul,4.3,2004-07,35 to 44 years,365,1572.0
1678,2005,Jul,3.7,2005-07,35 to 44 years,366,1351.0
1679,2006,Jul,3.6,2006-07,35 to 44 years,367,1285.0
1680,2007,Jul,3.8,2007-07,35 to 44 years,368,1331.0
1681,2008,Jul,4.7,2008-07,35 to 44 years,369,1641.0
1682,2009,Jul,7.9,2009-07,35 to 44 years,370,2702.0
1683,2010,Jul,7.9,2010-07,35 to 44 years,371,2610.0
1684,2011,Jul,7.0,2011-07,35 to 44 years,372,2272.0
1685,2012,Jul,6.7,2012-07,35 to 44 years,373,2202.0
1686,2013,Jul,5.9,2013-07,35 to 44 years,374,1917.0
1687,2014,Jul,4.8,2014-07,35 to 44 years,375,1549.0
1688,2015,Jul,4.1,2015-07,35 to 44 years,376,1340.0
1689,2016,Jul,3.4,2016-07,35 to 44 years,377,1113.0
1690,2017,Jul,3.4,2017-07,35 to 44 years,378,1134.0
1691,2018,Jul,2.9,2018-07,35 to 44 years,379,983.0
1692,2019,Jul,2.7,2019-07,35 to 44 years,380,925.0
1693,2020,Jul,8.0,2020-07,35 to 44 years,381,2744.0
1694,2021,Jul,4.6,2021-07,35 to 44 years,382,1599.0
1695,2022,Jul,2.7,2022-07,35 to 44 years,383,972.0
1696,2023,Jul,3.0,2023-07,35 to 44 years,384,1093.0
1697,1969,Aug,2.2,1969-08,35 to 44 years,385,369.0
1698,1970,Aug,3.2,1970-08,35 to 44 years,386,529.0
1699,1971,Aug,4.1,1971-08,35 to 44 years,387,676.0
1700,1972,Aug,3.7,1972-08,35 to 44 years,388,600.0
1701,1973,Aug,2.6,1973-08,35 to 44 years,389,427.0
1702,1974,Aug,3.3,1974-08,35 to 44 years,390,551.0
1703,1975,Aug,5.6,1975-08,35 to 44 years,391,945.0
1704,1976,Aug,4.9,1976-08,35 to 44 years,392,860.0
1705,1977,Aug,4.3,1977-08,35 to 44 years,393,771.0
1706,1978,Aug,3.7,1978-08,35 to 44 years,394,706.0
1707,1979,Aug,3.8,1979-08,35 to 44 years,395,749.0
1708,1980,Aug,5.3,1980-08,35 to 44 years,396,1087.0
1709,1981,Aug,4.6,1981-08,35 to 44 years,397,977.0
1710,1982,Aug,7.0,1982-08,35 to 44 years,398,1588.0
1711,1983,Aug,6.7,1983-08,35 to 44 years,399,1594.0
1712,1984,Aug,5.6,1984-08,35 to 44 years,400,1412.0
1713,1985,Aug,5.1,1985-08,35 to 44 years,401,1339.0
1714,1986,Aug,4.9,1986-08,35 to 44 years,402,1351.0
1715,1987,Aug,4.4,1987-08,35 to 44 years,403,1248.0
1716,1988,Aug,4.0,1988-08,35 to 44 years,404,1197.0
1717,1989,Aug,3.8,1989-08,35 to 44 years,405,1171.0
1718,1990,Aug,4.2,1990-08,35 to 44 years,406,1369.0
1719,1991,Aug,5.3,1991-08,35 to 44 years,407,1759.0
1720,1992,Aug,5.9,1992-08,35 to 44 years,408,2017.0
1721,1993,Aug,5.3,1993-08,35 to 44 years,409,1836.0
1722,1994,Aug,4.6,1994-08,35 to 44 years,410,1609.0
1723,1995,Aug,4.4,1995-08,35 to 44 years,411,1566.0
1724,1996,Aug,4.0,1996-08,35 to 44 years,412,1484.0
1725,1997,Aug,3.6,1997-08,35 to 44 years,413,1369.0
1726,1998,Aug,3.2,1998-08,35 to 44 years,414,1219.0
1727,1999,Aug,3.2,1999-08,35 to 44 years,415,1210.0
1728,2000,Aug,3.1,2000-08,35 to 44 years,416,1172.0
1729,2001,Aug,3.7,2001-08,35 to 44 years,417,1387.0
1730,2002,Aug,4.4,2002-08,35 to 44 years,418,1610.0
1731,2003,Aug,5.0,2003-08,35 to 44 years,419,1819.0
1732,2004,Aug,4.3,2004-08,35 to 44 years,420,1560.0
1733,2005,Aug,3.7,2005-08,35 to 44 years,421,1326.0
1734,2006,Aug,3.8,2006-08,35 to 44 years,422,1368.0
1735,2007,Aug,3.6,2007-08,35 to 44 years,423,1259.0
1736,2008,Aug,5.1,2008-08,35 to 44 years,424,1786.0
1737,2009,Aug,8.2,2009-08,35 to 44 years,425,2819.0
1738,2010,Aug,7.7,2010-08,35 to 44 years,426,2562.0
1739,2011,Aug,7.7,2011-08,35 to 44 years,427,2513.0
1740,2012,Aug,6.6,2012-08,35 to 44 years,428,2170.0
1741,2013,Aug,5.6,2013-08,35 to 44 years,429,1843.0
1742,2014,Aug,4.8,2014-08,35 to 44 years,430,1557.0
1743,2015,Aug,3.8,2015-08,35 to 44 years,431,1251.0
1744,2016,Aug,4.0,2016-08,35 to 44 years,432,1321.0
1745,2017,Aug,3.3,2017-08,35 to 44 years,433,1094.0
1746,2018,Aug,2.8,2018-08,35 to 44 years,434,946.0
1747,2019,Aug,2.7,2019-08,35 to 44 years,435,928.0
1748,2020,Aug,6.5,2020-08,35 to 44 years,436,2206.0
1749,2021,Aug,4.3,2021-08,35 to 44 years,437,1489.0
1750,2022,Aug,2.9,2022-08,35 to 44 years,438,1029.0
1751,2023,Aug,3.0,2023-08,35 to 44 years,439,1085.0
1752,1969,Sep,2.4,1969-09,35 to 44 years,440,389.0
1753,1970,Sep,3.3,1970-09,35 to 44 years,441,543.0
1754,1971,Sep,3.9,1971-09,35 to 44 years,442,642.0
1755,1972,Sep,3.5,1972-09,35 to 44 years,443,574.0
1756,1973,Sep,2.7,1973-09,35 to 44 years,444,445.0
1757,1974,Sep,3.6,1974-09,35 to 44 years,445,600.0
1758,1975,Sep,5.5,1975-09,35 to 44 years,446,931.0
1759,1976,Sep,5.1,1976-09,35 to 44 years,447,893.0
1760,1977,Sep,4.1,1977-09,35 to 44 years,448,747.0
1761,1978,Sep,3.5,1978-09,35 to 44 years,449,664.0
