month_year,Year,Month,education_attainment,civilian_labor_level,employment_level,employment_population_ratio,labor_force_participation_rate,unemployment_level,unemployment_rate,roc_unemployment_level,roc_unemployment_rate
2007-06,2007,June,"High School Graduates, No College",38291,36707,60.3,62.9,1583,4.1,-18,0
2008-06,2008,June,"High School Graduates, No College",38025,36070,59.4,62.6,1955,5.1,372,1
2009-06,2009,June,"High School Graduates, No College",38401,34680,56.6,62.7,3721,9.7,1766,4.6
2010-06,2010,June,"High School Graduates, No College",37936,33922,55.2,61.7,4014,10.6,293,0.9
2011-06,2011,June,"High School Graduates, No College",37522,33768,54.4,60.4,3754,10,-260,-0.6
2012-06,2012,June,"High School Graduates, No College",36971,33810,54.9,60,3161,8.6,-593,-1.4
2013-06,2013,June,"High School Graduates, No College",36494,33675,54.8,59.4,2820,7.7,-341,-0.9
2014-06,2014,June,"High School Graduates, No College",36309,34174,54.7,58.1,2135,5.9,-685,-1.8
2015-06,2015,June,"High School Graduates, No College",35149,33243,54.2,57.3,1906,5.4,-229,-0.5
2016-06,2016,June,"High School Graduates, No College",35345,33540,54.4,57.3,1805,5.1,-101,-0.3
2017-06,2017,June,"High School Graduates, No College",35906,34296,55.3,57.9,1610,4.5,-195,-0.6
2018-06,2018,June,"High School Graduates, No College",36119,34652,55.7,58,1468,4.1,-142,-0.4
2019-06,2019,June,"High School Graduates, No College",36177,34792,55.7,57.9,1384,3.8,-84,-0.3
2020-06,2020,June,"High School Graduates, No College",33705,29543,48.6,55.4,4162,12.3,2778,8.5
2021-06,2021,June,"High School Graduates, No College",34969,32519,52,55.9,2451,7,-1711,-5.3
2022-06,2022,June,"High School Graduates, No College",35897,34589,54.6,56.7,1308,3.6,-1143,-3.4
2023-06,2023,June,"High School Graduates, No College",36038,34638,54.7,57,1400,3.9,92,0.3
1993-07,1993,July,"High School Graduates, No College",37940,35542,61.6,65.7,2398,6.3,998,2.4
1994-07,1994,July,"High School Graduates, No College",37040,35106,61.8,65.2,1934,5.2,-464,-1.1
1995-07,1995,July,"High School Graduates, No College",36626,34902,62.6,65.7,1724,4.7,-210,-0.5
1996-07,1996,July,"High School Graduates, No College",37060,35321,63.2,66.3,1739,4.7,15,0
1997-07,1997,July,"High School Graduates, No College",38177,36591,63.5,66.3,1586,4.2,-153,-0.5
1998-07,1998,July,"High School Graduates, No College",37439,35908,62.6,65.3,1531,4.1,-55,-0.1
1999-07,1999,July,"High School Graduates, No College",37168,35824,62.7,65,1344,3.6,-187,-0.5
2000-07,2000,July,"High School Graduates, No College",37578,36302,62.4,64.6,1276,3.4,-68,-0.2
2001-07,2001,July,"High School Graduates, No College",37533,35995,61.9,64.6,1538,4.1,262,0.7
2002-07,2002,July,"High School Graduates, No College",37813,35890,61.5,64.8,1923,5.1,385,1
2003-07,2003,July,"High School Graduates, No College",37872,35835,60.6,64,2037,5.4,114,0.3
2004-07,2004,July,"High School Graduates, No College",38363,36457,60.7,63.9,1905,5,-132,-0.4
2005-07,2005,July,"High School Graduates, No College",38127,36304,60.8,63.9,1823,4.8,-82,-0.2
2006-07,2006,July,"High School Graduates, No College",38487,36770,61,63.9,1717,4.5,-106,-0.3
2007-07,2007,July,"High School Graduates, No College",38384,36635,60.3,63.2,1750,4.6,33,0.1
2008-07,2008,July,"High School Graduates, No College",38696,36622,59.9,63.2,2074,5.4,324,0.8
2009-07,2009,July,"High School Graduates, No College",38153,34546,56.3,62.2,3607,9.5,1533,4.1
2010-07,2010,July,"High School Graduates, No College",37828,34053,55.3,61.4,3775,10,168,0.5
2011-07,2011,July,"High School Graduates, No College",37255,33864,54.7,60.1,3391,9.1,-384,-0.9
2012-07,2012,July,"High School Graduates, No College",36845,33708,54.3,59.3,3137,8.5,-254,-0.6
2013-07,2013,July,"High School Graduates, No College",36831,34067,54.7,59.1,2764,7.5,-373,-1
2014-07,2014,July,"High School Graduates, No College",36340,34131,54.5,58,2209,6.1,-555,-1.4
2015-07,2015,July,"High School Graduates, No College",35189,33239,54,57.2,1950,5.5,-259,-0.6
2016-07,2016,July,"High School Graduates, No College",35616,33803,54.3,57.2,1813,5.1,-137,-0.4
2017-07,2017,July,"High School Graduates, No College",35570,33966,55,57.6,1604,4.5,-209,-0.6
2018-07,2018,July,"High School Graduates, No College",36536,35056,55.5,57.9,1480,4.1,-124,-0.4
2019-07,2019,July,"High School Graduates, No College",36483,35175,55.7,57.8,1308,3.6,-172,-0.5
2020-07,2020,July,"High School Graduates, No College",34129,30438,49.7,55.7,3691,10.8,2383,7.2
2021-07,2021,July,"High School Graduates, No College",35105,32910,52,55.5,2195,6.3,-1496,-4.5
2022-07,2022,July,"High School Graduates, No College",35371,34094,54.1,56.1,1277,3.6,-918,-2.7
2023-07,2023,July,"High School Graduates, No College",35980,34763,54.6,56.5,1217,3.4,-60,-0.2
1993-08,1993,Augest,"High School Graduates, No College",37926,35606,61.3,65.3,2320,6.1,1103,2.7
1994-08,1994,Augest,"High School Graduates, No College",37143,35150,61.8,65.3,1993,5.4,-327,-0.7
1995-08,1995,Augest,"High School Graduates, No College",36632,34966,62.4,65.3,1666,4.5,-327,-0.9
1996-08,1996,Augest,"High School Graduates, No College",36975,35360,62.8,65.6,1615,4.4,-51,-0.1
1997-08,1997,Augest,"High School Graduates, No College",37937,36328,63.1,65.9,1609,4.2,-6,-0.2
1998-08,1998,Augest,"High School Graduates, No College",37451,35983,62.3,64.9,1468,3.9,-141,-0.3
1999-08,1999,Augest,"High School Graduates, No College",37035,35732,62.5,64.8,1303,3.5,-165,-0.4
2000-08,2000,Augest,"High School Graduates, No College",37231,35865,61.9,64.3,1366,3.7,63,0.2
2001-08,2001,Augest,"High School Graduates, No College",37577,35914,61.2,64,1663,4.4,297,0.7
2002-08,2002,Augest,"High School Graduates, No College",37875,35907,60.8,64.1,1968,5.2,305,0.8
2003-08,2003,Augest,"High School Graduates, No College",37822,35774,60.2,63.6,2047,5.4,79,0.2
2004-08,2004,Augest,"High School Graduates, No College",38016,36135,60.1,63.2,1881,4.9,-166,-0.5
2005-08,2005,Augest,"High School Graduates, No College",38157,36371,60.5,63.5,1787,4.7,-94,-0.2
2006-08,2006,Augest,"High School Graduates, No College",38431,36658,60.5,63.4,1773,4.6,-14,-0.1
2007-08,2007,Augest,"High School Graduates, No College",38502,36807,60.1,62.9,1696,4.4,-77,-0.2
2008-08,2008,Augest,"High School Graduates, No College",38302,36068,59.1,62.8,2234,5.8,538,1.4
2009-08,2009,Augest,"High School Graduates, No College",38084,34386,55.9,61.9,3698,9.7,1464,3.9
2010-08,2010,Augest,"High School Graduates, No College",38326,34476,55.7,62,3850,10,152,0.3
2011-08,2011,Augest,"High School Graduates, No College",37072,33634,54.6,60.2,3438,9.3,-412,-0.7
2012-08,2012,Augest,"High School Graduates, No College",36555,33416,54.5,59.6,3139,8.6,-299,-0.7
2013-08,2013,Augest,"High School Graduates, No College",36373,33682,54.3,58.6,2690,7.4,-449,-1.2
2014-08,2014,Augest,"High School Graduates, No College",36232,34016,54.4,58,2216,6.1,-474,-1.3
2015-08,2015,Augest,"High School Graduates, No College",35473,33530,53.9,57,1944,5.5,-272,-0.6
2016-08,2016,Augest,"High School Graduates, No College",35917,34109,54.4,57.3,1808,5,-136,-0.5
2017-08,2017,Augest,"High School Graduates, No College",35951,34145,54.8,57.7,1806,5,-2,0
2018-08,2018,Augest,"High School Graduates, No College",36244,34806,55.2,57.5,1438,4,-368,-1
2019-08,2019,Augest,"High School Graduates, No College",36454,35141,55.5,57.5,1313,3.6,-125,-0.4
2020-08,2020,Augest,"High School Graduates, No College",34297,30916,49.7,55.2,3381,9.9,2068,6.3
2021-08,2021,Augest,"High School Graduates, No College",35490,33377,52.2,55.5,2113,6,-1268,-3.9
2022-08,2022,Augest,"High School Graduates, No College",35819,34259,54,56.4,1560,4.4,-553,-1.6
2023-08,2023,Augest,"High School Graduates, No College",36243,34851,54.4,56.5,1391,3.8,-169,-0.6
1993-09,1993,September,"High School Graduates, No College",37675,35329,61,65,2346,6.2,955,2.4
1994-09,1994,September,"High School Graduates, No College",37054,35197,62.1,65.4,1857,5,-489,-1.2
1995-09,1995,September,"High School Graduates, No College",36768,35038,62.2,65.3,1730,4.7,-127,-0.3
1996-09,1996,September,"High School Graduates, No College",37316,35627,62.8,65.7,1689,4.5,-41,-0.2
1997-09,1997,September,"High School Graduates, No College",37773,36211,63,65.7,1562,4.1,-127,-0.4
1998-09,1998,September,"High School Graduates, No College",37491,35953,62.4,65.1,1539,4.1,-23,0
1999-09,1999,September,"High School Graduates, No College",37391,36013,62.6,65,1379,3.7,-160,-0.4
2000-09,2000,September,"High School Graduates, No College",37426,36118,61.9,64.1,1308,3.5,-71,-0.2
2001-09,2001,September,"High School Graduates, No College",37462,35805,61.1,63.9,1657,4.4,349,0.9
2002-09,2002,September,"High School Graduates, No College",38099,36184,60.9,64.1,1915,5,258,0.6
2003-09,2003,September,"High School Graduates, No College",37932,35914,60.1,63.5,2018,5.3,103,0.3
2004-09,2004,September,"High School Graduates, No College",37646,35876,60.1,63.1,1770,4.7,-248,-0.6
2005-09,2005,September,"High School Graduates, No College",38254,36366,60.6,63.7,1888,4.9,118,0.2
2006-09,2006,September,"High School Graduates, No College",38408,36815,60.6,63.2,1593,4.1,-295,-0.8
2007-09,2007,September,"High School Graduates, No College",38871,37123,60.2,63,1748,4.5,155,0.4
2008-09,2008,September,"High School Graduates, No College",38327,35963,58.6,62.5,2364,6.2,616,1.7
2009-09,2009,September,"High School Graduates, No College",37986,33975,55.4,61.9,4010,10.6,1646,4.4
2010-09,2010,September,"High School Graduates, No College",38002,34328,55.7,61.7,3674,9.7,-336,-0.9
2011-09,2011,September,"High School Graduates, No College",37242,33731,54.7,60.4,3511,9.4,-163,-0.3
2012-09,2012,September,"High School Graduates, No College",36475,33370,54.2,59.3,3105,8.5,-406,-0.9
2013-09,2013,September,"High School Graduates, No College",36472,33707,54.3,58.7,2765,7.6,-340,-0.9
2014-09,2014,September,"High School Graduates, No College",36013,34068,54.9,58,1944,5.4,-821,-2.2
2015-09,2015,September,"High School Graduates, No College",35291,33420,54,57,1870,5.3,-74,-0.1
2016-09,2016,September,"High School Graduates, No College",35692,33824,54.3,57.3,1868,5.2,-2,-0.1
2017-09,2017,September,"High School Graduates, No College",35872,34320,54.9,57.3,1552,4.3,-316,-0.9
2018-09,2018,September,"High School Graduates, No College",36291,34949,55.4,57.6,1341,3.7,-211,-0.6
2019-09,2019,September,"High School Graduates, No College",36446,35155,56,58,1292,3.5,-49,-0.2
2020-09,2020,September,"High School Graduates, No College",35202,32002,50.4,55.4,3200,9.1,1908,5.6
2021-09,2021,September,"High School Graduates, No College",35084,33078,52.3,55.4,2007,5.7,-1193,-3.4
2022-09,2022,September,"High School Graduates, No College",35282,33975,54.1,56.2,1307,3.7,-700,-2
1993-10,1993,October,"High School Graduates, No College",38049,35633,61.6,65.8,2416,6.3,1109,2.6
1994-10,1994,October,"High School Graduates, No College",36971,35156,62.5,65.8,1815,4.9,-601,-1.4
1995-10,1995,October,"High School Graduates, No College",36531,34893,62.7,65.7,1638,4.5,-177,-0.4
1996-10,1996,October,"High School Graduates, No College",37356,35633,62.8,65.8,1723,4.6,85,0.1
1997-10,1997,October,"High School Graduates, No College",37793,36231,63.1,65.8,1562,4.1,-161,-0.5
1998-10,1998,October,"High School Graduates, No College",37634,36119,62.6,65.3,1515,4,-47,-0.1
1999-10,1999,October,"High School Graduates, No College",37171,35925,62.7,64.9,1246,3.4,-269,-0.6
2000-10,2000,October,"High School Graduates, No College",37575,36241,62,64.3,1334,3.6,88,0.2
2001-10,2001,October,"High School Graduates, No College",37459,35692,61,64.1,1766,4.7,432,1.1
2002-10,2002,October,"High School Graduates, No College",37986,36116,60.9,64.1,1870,4.9,104,0.2
2003-10,2003,October,"High School Graduates, No College",37916,35845,60.2,63.6,2071,5.5,201,0.6
2004-10,2004,October,"High School Graduates, No College",37652,35829,60.3,63.4,1822,4.8,-249,-0.7
2005-10,2005,October,"High School Graduates, No College",38389,36553,60.7,63.7,1836,4.8,14,0
2006-10,2006,October,"High School Graduates, No College",38398,36818,60.7,63.3,1580,4.1,-256,-0.7
2007-10,2007,October,"High School Graduates, No College",38527,36746,59.8,62.7,1781,4.6,201,0.5
2008-10,2008,October,"High School Graduates, No College",38585,36125,58.8,62.8,2460,6.4,679,1.8
2009-10,2009,October,"High School Graduates, No College",37995,33801,55.1,62,4194,11,1734,4.6
2010-10,2010,October,"High School Graduates, No College",37835,34120,55.2,61.2,3715,9.8,-479,-1.2
2011-10,2011,October,"High School Graduates, No College",37299,33795,54.7,60.4,3504,9.4,-211,-0.4
2012-10,2012,October,"High School Graduates, No College",36632,33610,54.9,59.8,3022,8.3,-482,-1.1
2013-10,2013,October,"High School Graduates, No College",36127,33513,53.9,58.1,2614,7.2,-408,-1.1
2014-10,2014,October,"High School Graduates, No College",36092,34026,54.6,57.9,2066,5.7,-548,-1.5
2015-10,2015,October,"High School Graduates, No College",35472,33631,54.3,57.3,1841,5.2,-225,-0.5
2016-10,2016,October,"High School Graduates, No College",36020,34052,54.9,58,1968,5.5,127,0.3
2017-10,2017,October,"High School Graduates, No College",35537,34031,54.4,56.8,1506,4.2,-462,-1.3
2018-10,2018,October,"High School Graduates, No College",36054,34617,55.2,57.5,1437,4,-69,-0.2
2019-10,2019,October,"High School Graduates, No College",36227,34893,55.6,57.7,1333,3.7,-104,-0.3
2020-10,2020,October,"High School Graduates, No College",35554,32660,51.4,55.9,2894,8.1,1561,4.4
2021-10,2021,October,"High School Graduates, No College",35406,33535,52.3,55.2,1871,5.3,-1023,-2.8
2022-10,2022,October,"High School Graduates, No College",35070,33692,53.7,55.9,1378,3.9,-493,-1.4
1993-11,1993,November,"High School Graduates, No College",37843,35590,61.7,65.6,2253,6,875,2.1
1994-11,1994,November,"High School Graduates, No College",37079,35293,62.6,65.8,1786,4.8,-467,-1.2
1995-11,1995,November,"High School Graduates, No College",36725,34979,62.4,65.6,1746,4.8,-40,0
1996-11,1996,November,"High School Graduates, No College",37340,35615,62.7,65.8,1725,4.6,-21,-0.2
1997-11,1997,November,"High School Graduates, No College",37645,36199,63.2,65.7,1446,3.8,-279,-0.8
1998-11,1998,November,"High School Graduates, No College",37427,35959,62.8,65.3,1468,3.9,22,0.1
1999-11,1999,November,"High School Graduates, No College",37651,36434,63,65.2,1217,3.2,-251,-0.7
2000-11,2000,November,"High School Graduates, No College",37765,36448,62.1,64.4,1318,3.5,101,0.3
2001-11,2001,November,"High School Graduates, No College",37348,35494,60.5,63.7,1854,5,536,1.5
2002-11,2002,November,"High School Graduates, No College",37910,35945,60.1,63.4,1965,5.2,111,0.2
2003-11,2003,November,"High School Graduates, No College",38318,36299,60.3,63.7,2020,5.3,55,0.1
2004-11,2004,November,"High School Graduates, No College",37607,35793,60,63,1814,4.8,-206,-0.5
2005-11,2005,November,"High School Graduates, No College",38272,36449,60.2,63.2,1823,4.8,9,0
2006-11,2006,November,"High School Graduates, No College",38514,36842,60.3,63.1,1672,4.3,-151,-0.5
2007-11,2007,November,"High School Graduates, No College",38676,36925,59.7,62.6,1751,4.5,79,0.2
2008-11,2008,November,"High School Graduates, No College",38389,35712,58.2,62.5,2677,7,926,2.5
2009-11,2009,November,"High School Graduates, No College",37950,34030,55.5,61.9,3920,10.3,1243,3.3
2010-11,2010,November,"High School Graduates, No College",37774,34014,54.9,61,3760,10,-160,-0.3
2011-11,2011,November,"High School Graduates, No College",37035,33785,54.9,60.2,3251,8.8,-509,-1.2
2012-11,2012,November,"High School Graduates, No College",36710,33765,54.7,59.5,2945,8,-306,-0.8
2013-11,2013,November,"High School Graduates, No College",35954,33367,54.1,58.3,2587,7.2,-358,-0.8
2014-11,2014,November,"High School Graduates, No College",35442,33422,54.4,57.7,2020,5.7,-567,-1.5
2015-11,2015,November,"High School Graduates, No College",35321,33401,54.2,57.3,1920,5.4,-100,-0.3
2016-11,2016,November,"High School Graduates, No College",35851,34057,54.9,57.8,1794,5,-126,-0.4
2017-11,2017,November,"High School Graduates, No College",36006,34420,55,57.5,1586,4.4,-208,-0.6
2018-11,2018,November,"High School Graduates, No College",35900,34643,55.6,57.6,1257,3.5,-329,-0.9
2019-11,2019,November,"High School Graduates, No College",36173,34857,55.9,58,1316,3.6,59,0.1
2020-11,2020,November,"High School Graduates, No College",35248,32513,51.2,55.5,2735,7.8,1419,4.2
2021-11,2021,November,"High School Graduates, No College",35534,33732,53,55.9,1802,5.1,-933,-2.7
2022-11,2022,November,"High School Graduates, No College",35192,33816,53.5,55.7,1377,3.9,-425,-1.2
1993-12,1993,December,"High School Graduates, No College",38055,35814,61.8,65.6,2241,5.9,864,2
1994-12,1994,December,"High School Graduates, No College",36908,35179,62.4,65.4,1729,4.7,-512,-1.2
1995-12,1995,December,"High School Graduates, No College",36781,35048,62.3,65.4,1733,4.7,4,0
1996-12,1996,December,"High School Graduates, No College",37442,35742,62.8,65.7,1700,4.5,-33,-0.2
1997-12,1997,December,"High School Graduates, No College",37815,36287,63,65.6,1528,4,-172,-0.5
1998-12,1998,December,"High School Graduates, No College",37273,35861,62.8,65.3,1413,3.8,-115,-0.2
1999-12,1999,December,"High School Graduates, No College",37325,36006,62.5,64.8,1319,3.5,-94,-0.3
2000-12,2000,December,"High School Graduates, No College",37777,36459,61.8,64,1318,3.5,-1,0
2001-12,2001,December,"High School Graduates, No College",37493,35640,60.7,63.8,1853,4.9,535,1.4
2002-12,2002,December,"High School Graduates, No College",37861,35856,60.3,63.7,2004,5.3,151,0.4
2003-12,2003,December,"High School Graduates, No College",38041,35986,60.2,63.6,2055,5.4,51,0.1
2004-12,2004,December,"High School Graduates, No College",37784,35978,60.2,63.2,1805,4.8,-250,-0.6
2005-12,2005,December,"High School Graduates, No College",38034,36318,60.1,62.9,1716,4.5,-89,-0.3
2006-12,2006,December,"High School Graduates, No College",38274,36637,60.1,62.8,1637,4.3,-79,-0.2
2007-12,2007,December,"High School Graduates, No College",38623,36820,59.6,62.6,1803,4.7,166,0.4
2008-12,2008,December,"High School Graduates, No College",38580,35578,57.5,62.3,3002,7.8,1199,3.1
2009-12,2009,December,"High School Graduates, No College",37531,33557,54.8,61.3,3974,10.6,972,2.8
2010-12,2010,December,"High School Graduates, No College",37929,34217,54.5,60.5,3712,9.8,-262,-0.8
2011-12,2011,December,"High School Graduates, No College",36834,33643,54.5,59.6,3192,8.7,-520,-1.1
2012-12,2012,December,"High School Graduates, No College",36652,33727,54.3,59,2925,8,-267,-0.7
2013-12,2013,December,"High School Graduates, No College",36392,33844,54.2,58.3,2548,7,-377,-1
2014-12,2014,December,"High School Graduates, No College",35307,33444,54.7,57.7,1863,5.3,-685,-1.7
2015-12,2015,December,"High School Graduates, No College",34818,32876,53.9,57.1,1942,5.6,79,0.3
2016-12,2016,December,"High School Graduates, No College",35616,33813,54.7,57.6,1803,5.1,-139,-0.5
2017-12,2017,December,"High School Graduates, No College",35844,34324,55.2,57.6,1520,4.2,-283,-0.9
2018-12,2018,December,"High School Graduates, No College",36097,34716,55.8,58,1381,3.8,-139,-0.4
2019-12,2019,December,"High School Graduates, No College",36008,34669,56.2,58.3,1339,3.7,-42,-0.1
2020-12,2020,December,"High School Graduates, No College",34828,32078,50.9,55.3,2750,7.9,1411,4.2
2021-12,2021,December,"High School Graduates, No College",35852,34223,53.2,55.7,1629,4.5,-1121,-3.4
2022-12,2022,December,"High School Graduates, No College",35605,34339,54.2,56.2,1266,3.6,-363,-0.9
1993-01,1993,January,Less than High School Diploma,12779,35047,35.5,39.9,1417,11.1,151,7.5
1994-01,1994,January,Less than High School Diploma,12150,35708,35.5,39.8,1296,10.7,-121,-0.4
1995-01,1995,January,Less than High School Diploma,12197,35134,36.4,40.1,1121,9.2,-175,-1.5
1996-01,1996,January,Less than High School Diploma,12256,34897,36.7,40.2,1069,8.7,-52,-0.5
1997-01,1997,January,Less than High School Diploma,12606,36002,37.7,41.4,1107,8.8,38,0.1
1998-01,1998,January,Less than High School Diploma,12592,36107,39.1,42,878,7,-229,-1.8
1999-01,1999,January,Less than High School Diploma,12343,36039,39.7,42.7,877,7.1,-1,0.1
2000-01,2000,January,Less than High School Diploma,12349,36716,40.2,43,793,6.4,-84,-0.7
2001-01,2001,January,Less than High School Diploma,12433,36519,40.4,43.3,833,6.7,40,0.3
2002-01,2002,January,Less than High School Diploma,12640,35482,40,43.6,1041,8.2,208,1.5
2003-01,2003,January,Less than High School Diploma,12578,35907,40,43.8,1104,8.8,63,0.6
2004-01,2004,January,Less than High School Diploma,12337,35945,40.3,44.3,1117,9.1,13,0.3
2005-01,2005,January,Less than High School Diploma,12548,36087,41.2,44.6,972,7.7,-145,-1.4
2006-01,2006,January,Less than High School Diploma,12619,36293,42.7,45.9,888,7,-84,-0.7
2007-01,2007,January,Less than High School Diploma,12844,37047,43.7,46.9,882,6.9,-6,-0.1
2008-01,2008,January,Less than High School Diploma,12343,36490,42.6,46.2,951,7.7,69,0.8
2009-01,2009,January,Less than High School Diploma,12153,35561,40.7,46.4,1506,12.4,555,4.7
2010-01,2010,January,Less than High School Diploma,11975,34115,39,46,1826,15.3,320,2.9
2011-01,2011,January,Less than High School Diploma,11470,33989,38.9,45.4,1645,14.3,-181,-1
2012-01,2012,January,Less than High School Diploma,11443,33789,39.6,45.5,1487,13,-158,-1.3
2013-01,2013,January,Less than High School Diploma,11070,33707,39.8,45.2,1334,12,-153,-1
2014-01,2014,January,Less than High School Diploma,10789,33734,39.5,43.6,1010,9.4,-324,-2.6
2015-01,2015,January,Less than High School Diploma,11248,33520,41.5,45.2,939,8.3,-71,-1.1
2016-01,2016,January,Less than High School Diploma,10962,33571,42.5,45.7,775,7.1,-164,-1.2
2017-01,2017,January,Less than High School Diploma,10561,33573,42.1,45.4,778,7.4,3,0.3
2018-01,2018,January,Less than High School Diploma,10413,34027,42.9,45.4,567,5.4,-211,-2
2019-01,2019,January,Less than High School Diploma,10150,34860,43,45.6,580,5.7,13,0.3
2020-01,2020,January,Less than High School Diploma,9639,34743,43.4,46,542,5.6,-38,-0.1
2021-01,2021,January,Less than High School Diploma,9279,31885,41.3,45.4,831,9,289,3.4
2022-01,2022,January,Less than High School Diploma,8746,35312,42,44.8,551,6.3,-280,-2.7
2023-01,2023,January,Less than High School Diploma,8814,34836,43.9,46,397,4.5,-154,-1.8
1993-02,1993,February,Less than High School Diploma,12870,35132,35.7,40.2,1428,11.1,1031,6.6
1994-02,1994,February,Less than High School Diploma,12312,34872,35.7,39.9,1276,10.4,-152,-0.7
1995-02,1995,February,Less than High School Diploma,12070,34959,36.6,40.2,1079,8.9,-197,-1.5
1996-02,1996,February,Less than High School Diploma,12324,35099,37,40.6,1096,8.9,17,0
1997-02,1997,February,Less than High School Diploma,12554,35975,38,41.7,1109,8.8,13,-0.1
1998-02,1998,February,Less than High School Diploma,12621,36182,40.1,43.2,894,7.1,-215,-1.7
1999-02,1999,February,Less than High School Diploma,12256,35927,40.3,43.6,914,7.5,20,0.4
2000-02,2000,February,Less than High School Diploma,12458,36706,41.7,44.3,748,6,-166,-1.5
2001-02,2001,February,Less than High School Diploma,12556,36488,41.5,44.9,944,7.5,196,1.5
2002-02,2002,February,Less than High School Diploma,12708,35821,41.2,44.9,1057,8.3,113,0.8
2003-02,2003,February,Less than High School Diploma,12622,35722,40.8,44.8,1122,8.9,65,0.6
2004-02,2004,February,Less than High School Diploma,12491,35989,41.3,45.2,1078,8.6,-44,-0.3
2005-02,2005,February,Less than High School Diploma,12556,36331,41.8,45.4,984,7.8,-94,-0.8
2006-02,2006,February,Less than High School Diploma,12712,36276,43.5,46.9,906,7.1,-78,-0.7
2007-02,2007,February,Less than High School Diploma,13192,37144,44.5,48,958,7.3,52,0.2
2008-02,2008,February,Less than High School Diploma,12234,36280,43.4,46.8,900,7.4,-58,0.1
2009-02,2009,February,Less than High School Diploma,12164,35071,40.9,47.2,1607,13.2,707,5.8
2010-02,2010,February,Less than High School Diploma,11653,34644,39.4,46.8,1837,15.8,230,2.6
2011-02,2011,February,Less than High School Diploma,11320,33980,39.2,45.5,1583,14,-254,-1.8
2012-02,2012,February,Less than High School Diploma,11387,33870,40.1,46.2,1494,13.1,-89,-0.9
2013-02,2013,February,Less than High School Diploma,11142,33344,41.4,46.7,1254,11.3,-240,-1.8
2014-02,2014,February,Less than High School Diploma,11111,33839,41.5,46,1092,9.8,-162,-1.5
2015-02,2015,February,Less than High School Diploma,11184,33377,42.7,46.5,919,8.2,-173,-1.6
2016-02,2016,February,Less than High School Diploma,10710,33702,43.2,46.4,746,7,-173,-1.2
2017-02,2017,February,Less than High School Diploma,10251,34077,42.7,46.2,772,7.5,26,0.5
2018-02,2018,February,Less than High School Diploma,10209,34415,43.9,46.6,585,5.7,-187,-1.8
2019-02,2019,February,Less than High School Diploma,10227,34814,44.3,46.9,550,5.4,-35,-0.3
2020-02,2020,February,Less than High School Diploma,9666,34963,44.8,47.6,563,5.8,13,0.4
2021-02,2021,February,Less than High School Diploma,8927,31897,41.1,45.8,914,10.2,351,4.4
2022-02,2022,February,Less than High School Diploma,8976,34935,44.8,46.9,402,4.5,-512,-5.7
2023-02,2023,February,Less than High School Diploma,9165,34574,45.5,48.3,536,5.8,134,1.3
1993-03,1993,March,Less than High School Diploma,12751,35090,35.5,39.9,1387,10.9,851,5.1
1994-03,1994,March,Less than High School Diploma,12215,34868,35.3,39.4,1280,10.5,-107,-0.4
1995-03,1995,March,Less than High School Diploma,11921,35104,36.4,39.6,953,8,-327,-2.5
1996-03,1996,March,Less than High School Diploma,12436,34985,36.9,40.6,1142,9.2,189,1.2
1997-03,1997,March,Less than High School Diploma,12748,35924,38.7,42.2,1059,8.3,-83,-0.9
1998-03,1998,March,Less than High School Diploma,12526,36102,39.8,42.8,890,7.1,-169,-1.2
1999-03,1999,March,Less than High School Diploma,12120,36139,40,42.6,735,6.1,-155,-1
2000-03,2000,March,Less than High School Diploma,12222,36696,40.5,43.3,803,6.6,68,0.5
2001-03,2001,March,Less than High School Diploma,12513,36457,41.1,44.1,854,6.8,51,0.2
2002-03,2002,March,Less than High School Diploma,12667,35516,40.5,44.1,1032,8.1,178,1.3
2003-03,2003,March,Less than High School Diploma,12884,35700,41.2,45.1,1111,8.6,79,0.5
2004-03,2004,March,Less than High School Diploma,12419,35690,41.2,45.2,1099,8.8,-12,0.2
2005-03,2005,March,Less than High School Diploma,12538,36379,41.6,45.2,978,7.8,-121,-1
2006-03,2006,March,Less than High School Diploma,12698,36725,43.1,46.3,879,6.9,-99,-0.9
2007-03,2007,March,Less than High School Diploma,13067,37061,44,47.3,906,6.9,27,0
2008-03,2008,March,Less than High School Diploma,12199,36159,42.6,46.6,1025,8.4,119,1.5
2009-03,2009,March,Less than High School Diploma,12197,34892,39.9,46.4,1714,14,689,5.6
2010-03,2010,March,Less than High School Diploma,11860,34802,39.5,46.4,1764,14.9,50,0.9
2011-03,2011,March,Less than High School Diploma,11590,33925,39.4,45.8,1633,14.1,-131,-0.8
2012-03,2012,March,Less than High School Diploma,11346,33743,39.8,45.7,1453,12.8,-180,-1.3
2013-03,2013,March,Less than High School Diploma,11150,33317,40.5,45.5,1240,11.1,-213,-1.7
2014-03,2014,March,Less than High School Diploma,11160,33924,41.4,45.7,1047,9.4,-193,-1.7
2015-03,2015,March,Less than High School Diploma,11134,33692,41.4,45.3,952,8.6,-95,-0.8
2016-03,2016,March,Less than High School Diploma,10883,33682,43.3,46.7,795,7.3,-157,-1.3
2017-03,2017,March,Less than High School Diploma,10217,34415,42.5,45.5,665,6.5,-130,-0.8
2018-03,2018,March,Less than High School Diploma,10244,34298,43.2,45.7,564,5.5,-101,-1
2019-03,2019,March,Less than High School Diploma,10129,34565,43.4,46.1,594,5.9,30,0.4
