yearAndMonth,Year,Month,Unemployment Level (in thousands),Gender,Unemployment Rate (in percentage)
2003-05,2003,May,4322,Men,5.8
2003-06,2003,Jun,4506,Men,6.0
2003-07,2003,Jul,4402,Men,5.9
2003-08,2003,Aug,4340,Men,5.8
2003-09,2003,Sep,4279,Men,5.7
2003-10,2003,Oct,4192,Men,5.6
2003-11,2003,Nov,4200,Men,5.6
2003-12,2003,Dec,3905,Men,5.2
2004-01,2004,Jan,3878,Men,5.2
2004-02,2004,Feb,3804,Men,5.1
2004-03,2004,Mar,3912,Men,5.2
2004-04,2004,Apr,3796,Men,5.1
2004-05,2004,May,3875,Men,5.2
2004-06,2004,Jun,3822,Men,5.1
2004-07,2004,Jul,3739,Men,5.0
2004-08,2004,Aug,3772,Men,5.0
2004-09,2004,Sep,3740,Men,5.0
2004-10,2004,Oct,3733,Men,4.9
2004-11,2004,Nov,3714,Men,4.9
2004-12,2004,Dec,3652,Men,4.8
2005-01,2005,Jan,3591,Men,4.7
2005-02,2005,Feb,3641,Men,4.8
2005-03,2005,Mar,3487,Men,4.6
2005-04,2005,Apr,3357,Men,4.4
2005-05,2005,May,3312,Men,4.3
2005-06,2005,Jun,3311,Men,4.3
2005-07,2005,Jul,3240,Men,4.2
2005-08,2005,Aug,3322,Men,4.3
2005-09,2005,Sep,3431,Men,4.5
2005-10,2005,Oct,3301,Men,4.3
2005-11,2005,Nov,3318,Men,4.3
2005-12,2005,Dec,3284,Men,4.3
2006-01,2006,Jan,3124,Men,4.1
2006-02,2006,Feb,3228,Men,4.2
2006-03,2006,Mar,3144,Men,4.1
2006-04,2006,Apr,3241,Men,4.2
2006-05,2006,May,3239,Men,4.2
2006-06,2006,Jun,3083,Men,4.0
2006-07,2006,Jul,3191,Men,4.1
2006-08,2006,Aug,3207,Men,4.1
2006-09,2006,Sep,2902,Men,3.7
2006-10,2006,Oct,3012,Men,3.9
2006-11,2006,Nov,3088,Men,4.0
2006-12,2006,Dec,3079,Men,3.9
2007-01,2007,Jan,3318,Men,4.2
2007-02,2007,Feb,3282,Men,4.2
2007-03,2007,Mar,3124,Men,4.0
2007-04,2007,Apr,3156,Men,4.0
2007-05,2007,May,3115,Men,4.0
2007-06,2007,Jun,3178,Men,4.0
2007-07,2007,Jul,3275,Men,4.2
2007-08,2007,Aug,3210,Men,4.1
2007-09,2007,Sep,3284,Men,4.2
2007-10,2007,Oct,3356,Men,4.3
2007-11,2007,Nov,3282,Men,4.2
2007-12,2007,Dec,3501,Men,4.4
2008-01,2008,Jan,3538,Men,4.5
2008-02,2008,Feb,3491,Men,4.4
2008-03,2008,Mar,3671,Men,4.6
2008-04,2008,Apr,3647,Men,4.6
2008-05,2008,May,3859,Men,4.9
2008-06,2008,Jun,4021,Men,5.1
2008-07,2008,Jul,4284,Men,5.4
2008-08,2008,Aug,4482,Men,5.7
2008-09,2008,Sep,4796,Men,6.1
2008-10,2008,Oct,5013,Men,6.3
2008-11,2008,Nov,5280,Men,6.7
2008-12,2008,Dec,5831,Men,7.4
2009-01,2009,Jan,6259,Men,7.9
2009-02,2009,Feb,6746,Men,8.5
2009-03,2009,Mar,7104,Men,9.0
2009-04,2009,Apr,7494,Men,9.5
2009-05,2009,May,7796,Men,9.8
2009-06,2009,Jun,7822,Men,9.9
2009-07,2009,Jul,7725,Men,9.8
2009-08,2009,Aug,7905,Men,10.0
2009-09,2009,Sep,7962,Men,10.1
2009-10,2009,Oct,8196,Men,10.4
2009-11,2009,Nov,8106,Men,10.3
2009-12,2009,Dec,7957,Men,10.1
2010-01,2010,Jan,8049,Men,10.2
2010-02,2010,Feb,8064,Men,10.3
2010-03,2010,Mar,8032,Men,10.2
2010-04,2010,Apr,8068,Men,10.2
2010-05,2010,May,7679,Men,9.7
2010-06,2010,Jun,7668,Men,9.7
2010-07,2010,Jul,7566,Men,9.6
2010-08,2010,Aug,7637,Men,9.6
2010-09,2010,Sep,7578,Men,9.6
2010-10,2010,Oct,7370,Men,9.4
2010-11,2010,Nov,7804,Men,9.9
2010-12,2010,Dec,7394,Men,9.4
2011-01,2011,Jan,7102,Men,9.0
2011-02,2011,Feb,7005,Men,8.9
2011-03,2011,Mar,6951,Men,8.8
2011-04,2011,Apr,7057,Men,8.9
2011-05,2011,May,6996,Men,8.8
2011-06,2011,Jun,7086,Men,9.0
2011-07,2011,Jul,6974,Men,8.8
2011-08,2011,Aug,6910,Men,8.7
2011-09,2011,Sep,6860,Men,8.7
2011-10,2011,Oct,6807,Men,8.6
2011-11,2011,Nov,6546,Men,8.2
2011-12,2011,Dec,6375,Men,8.0
2012-01,2012,Jan,6129,Men,7.7
2012-02,2012,Feb,6126,Men,7.7
2012-03,2012,Mar,6112,Men,7.7
2012-04,2012,Apr,6008,Men,7.6
2012-05,2012,May,6097,Men,7.7
2012-06,2012,Jun,6151,Men,7.7
2012-07,2012,Jul,6075,Men,7.7
2012-08,2012,Aug,5981,Men,7.6
2012-09,2012,Sep,5811,Men,7.3
2012-10,2012,Oct,5767,Men,7.2
2012-11,2012,Nov,5706,Men,7.2
2012-12,2012,Dec,5742,Men,7.2
2013-01,2013,Jan,6016,Men,7.5
2013-02,2013,Feb,5609,Men,7.0
2013-03,2013,Mar,5512,Men,6.9
2013-04,2013,Apr,5708,Men,7.2
2013-05,2013,May,5692,Men,7.1
2013-06,2013,Jun,5625,Men,7.0
2013-07,2013,Jul,5557,Men,7.0
2013-08,2013,Aug,5655,Men,7.1
2013-09,2013,Sep,5652,Men,7.1
2013-10,2013,Oct,5471,Men,6.9
2013-11,2013,Nov,5292,Men,6.6
2013-12,2013,Dec,4985,Men,6.3
2014-01,2014,Jan,4979,Men,6.2
2014-02,2014,Feb,5029,Men,6.3
2014-03,2014,Mar,4859,Men,6.1
2014-04,2014,Apr,4671,Men,5.9
2014-05,2014,May,4740,Men,5.9
2014-06,2014,Jun,4585,Men,5.7
2014-07,2014,Jul,4531,Men,5.7
2014-08,2014,Aug,4602,Men,5.7
2014-09,2014,Sep,4258,Men,5.3
2014-10,2014,Oct,4062,Men,5.1
2014-11,2014,Nov,4365,Men,5.4
2014-12,2014,Dec,4203,Men,5.2
2015-01,2015,Jan,4269,Men,5.3
2015-02,2015,Feb,4179,Men,5.2
2015-03,2015,Mar,4074,Men,5.1
2015-04,2015,Apr,4068,Men,5.0
2015-05,2015,May,4179,Men,5.2
2015-06,2015,Jun,3904,Men,4.8
2015-07,2015,Jul,3847,Men,4.8
2015-08,2015,Aug,3788,Men,4.7
2015-09,2015,Sep,3765,Men,4.7
2015-10,2015,Oct,3771,Men,4.7
2015-11,2015,Nov,3836,Men,4.8
2015-12,2015,Dec,3764,Men,4.6
2016-01,2016,Jan,3492,Men,4.3
2016-02,2016,Feb,3615,Men,4.4
2016-03,2016,Mar,3668,Men,4.5
2016-04,2016,Apr,3823,Men,4.7
2016-05,2016,May,3611,Men,4.4
2016-06,2016,Jun,3669,Men,4.5
2016-07,2016,Jul,3809,Men,4.7
2016-08,2016,Aug,3676,Men,4.5
2016-09,2016,Sep,3831,Men,4.7
2016-10,2016,Oct,3753,Men,4.6
2016-11,2016,Nov,3568,Men,4.4
2016-12,2016,Dec,3579,Men,4.4
2017-01,2017,Jan,3487,Men,4.3
2017-02,2017,Feb,3477,Men,4.2
2017-03,2017,Mar,3403,Men,4.2
2017-04,2017,Apr,3239,Men,3.9
2017-05,2017,May,3210,Men,3.9
2017-06,2017,Jun,3222,Men,3.9
2017-07,2017,Jul,3271,Men,4.0
2017-08,2017,Aug,3395,Men,4.1
2017-09,2017,Sep,3242,Men,3.9
2017-10,2017,Oct,3223,Men,3.9
2017-11,2017,Nov,3139,Men,3.8
2017-12,2017,Dec,3131,Men,3.8
2018-01,2018,Jan,3078,Men,3.7
2018-02,2018,Feb,2983,Men,3.6
2018-03,2018,Mar,3011,Men,3.6
2018-04,2018,Apr,3120,Men,3.7
2018-05,2018,May,2972,Men,3.6
2018-06,2018,Jun,3067,Men,3.7
2018-07,2018,Jul,2813,Men,3.4
2018-08,2018,Aug,2898,Men,3.5
2018-09,2018,Sep,2929,Men,3.5
2018-10,2018,Oct,2990,Men,3.6
2018-11,2018,Nov,2820,Men,3.4
2018-12,2018,Dec,3036,Men,3.6
2019-01,2019,Jan,3045,Men,3.6
2019-02,2019,Feb,2806,Men,3.4
2019-03,2019,Mar,2972,Men,3.6
2019-04,2019,Apr,2838,Men,3.4
2019-05,2019,May,2806,Men,3.4
2019-06,2019,Jun,2750,Men,3.3
2019-07,2019,Jul,2794,Men,3.3
2019-08,2019,Aug,2828,Men,3.4
2019-09,2019,Sep,2758,Men,3.3
2019-10,2019,Oct,2832,Men,3.4
2019-11,2019,Nov,2733,Men,3.2
2019-12,2019,Dec,2665,Men,3.2
2020-01,2020,Jan,2656,Men,3.2
2020-02,2020,Feb,2705,Men,3.2
2020-03,2020,Mar,3395,Men,4.1
2020-04,2020,Apr,10471,Men,13.0
2020-05,2020,May,9376,Men,11.6
2020-06,2020,Jun,8280,Men,10.1
2020-07,2020,Jul,7659,Men,9.3
2020-08,2020,Aug,6531,Men,7.9
2020-09,2020,Sep,6050,Men,7.4
2020-10,2020,Oct,5544,Men,6.7
2020-11,2020,Nov,5460,Men,6.6
2020-12,2020,Dec,5288,Men,6.4
2021-01,2021,Jan,4980,Men,6.1
2021-02,2021,Feb,4907,Men,6.0
2021-03,2021,Mar,4792,Men,5.9
2021-04,2021,Apr,4958,Men,6.0
2021-05,2021,May,4817,Men,5.9
2021-06,2021,Jun,4851,Men,5.9
2021-07,2021,Jul,4436,Men,5.4
2021-08,2021,Aug,4186,Men,5.1
2021-09,2021,Sep,3902,Men,4.7
2021-10,2021,Oct,3531,Men,4.3
2021-11,2021,Nov,3256,Men,3.9
2021-12,2021,Dec,3010,Men,3.6
2022-01,2022,Jan,3190,Men,3.8
2022-02,2022,Feb,2971,Men,3.5
2022-03,2022,Mar,2877,Men,3.4
2022-04,2022,Apr,2963,Men,3.5
2022-05,2022,May,2834,Men,3.4
2022-06,2022,Jun,2818,Men,3.4
2022-07,2022,Jul,2720,Men,3.2
2022-08,2022,Aug,2929,Men,3.5
2022-09,2022,Sep,2786,Men,3.3
2022-10,2022,Oct,2829,Men,3.3
2022-11,2022,Nov,2827,Men,3.3
2022-12,2022,Dec,2661,Men,3.1
2023-01,2023,Jan,2760,Men,3.2
2023-02,2023,Feb,2803,Men,3.3
2023-03,2023,Mar,2880,Men,3.4
2023-04,2023,Apr,2778,Men,3.3
2023-05,2023,May,2961,Men,3.5
2023-06,2023,Jun,2906,Men,3.4
2023-07,2023,Jul,2817,Men,3.3
2023-08,2023,Aug,3157,Men,3.7
