yearAndMonth,Year,Month,Population Level (in thousands),Gender
1990-01,1990,Jan,82499,Men
1990-02,1990,Feb,82561,Men
1990-03,1990,Mar,82691,Men
1990-04,1990,Apr,82788,Men
1990-05,1990,May,82877,Men
1990-06,1990,Jun,82967,Men
1990-07,1990,Jul,83048,Men
1990-08,1990,Aug,83181,Men
1990-09,1990,Sep,83293,Men
1990-10,1990,Oct,83408,Men
1990-11,1990,Nov,83475,Men
1990-12,1990,Dec,83573,Men
1991-01,1991,Jan,83666,Men
1991-02,1991,Feb,83745,Men
1991-03,1991,Mar,83799,Men
1991-04,1991,Apr,83862,Men
1991-05,1991,May,83966,Men
1991-06,1991,Jun,84065,Men
1991-07,1991,Jul,84158,Men
1991-08,1991,Aug,84256,Men
1991-09,1991,Sep,84363,Men
1991-10,1991,Oct,84517,Men
1991-11,1991,Nov,84605,Men
1991-12,1991,Dec,84727,Men
1992-01,1992,Jan,84816,Men
1992-02,1992,Feb,84896,Men
1992-03,1992,Mar,84936,Men
1992-04,1992,Apr,85008,Men
1992-05,1992,May,85090,Men
1992-06,1992,Jun,85177,Men
1992-07,1992,Jul,85265,Men
1992-08,1992,Aug,85361,Men
1992-09,1992,Sep,85458,Men
1992-10,1992,Oct,85559,Men
1992-11,1992,Nov,85653,Men
1992-12,1992,Dec,85742,Men
1993-01,1993,Jan,85847,Men
1993-02,1993,Feb,85961,Men
1993-03,1993,Mar,86047,Men
1993-04,1993,Apr,86084,Men
1993-05,1993,May,86150,Men
1993-06,1993,Jun,86207,Men
1993-07,1993,Jul,86269,Men
1993-08,1993,Aug,86309,Men
1993-09,1993,Sep,86413,Men
1993-10,1993,Oct,86494,Men
1993-11,1993,Nov,86580,Men
1993-12,1993,Dec,86706,Men
1994-01,1994,Jan,86778,Men
1994-02,1994,Feb,86820,Men
1994-03,1994,Mar,86901,Men
1994-04,1994,Apr,86946,Men
1994-05,1994,May,87000,Men
1994-06,1994,Jun,87095,Men
1994-07,1994,Jul,87123,Men
1994-08,1994,Aug,87248,Men
1994-09,1994,Sep,87321,Men
1994-10,1994,Oct,87439,Men
1994-11,1994,Nov,87529,Men
1994-12,1994,Dec,87617,Men
1995-01,1995,Jan,87528,Men
1995-02,1995,Feb,87572,Men
1995-03,1995,Mar,87622,Men
1995-04,1995,Apr,87664,Men
1995-05,1995,May,87691,Men
1995-06,1995,Jun,87750,Men
1995-07,1995,Jul,87818,Men
1995-08,1995,Aug,87905,Men
1995-09,1995,Sep,87940,Men
1995-10,1995,Oct,88027,Men
1995-11,1995,Nov,88046,Men
1995-12,1995,Dec,88172,Men
1996-01,1996,Jan,88223,Men
1996-02,1996,Feb,88296,Men
1996-03,1996,Mar,88366,Men
1996-04,1996,Apr,88440,Men
1996-05,1996,May,88530,Men
1996-06,1996,Jun,88570,Men
1996-07,1996,Jul,88614,Men
1996-08,1996,Aug,88650,Men
1996-09,1996,Sep,88733,Men
1996-10,1996,Oct,88840,Men
1996-11,1996,Nov,88971,Men
1996-12,1996,Dec,89040,Men
1997-01,1997,Jan,89446,Men
1997-02,1997,Feb,89556,Men
1997-03,1997,Mar,89604,Men
1997-04,1997,Apr,89680,Men
1997-05,1997,May,89766,Men
1997-06,1997,Jun,89829,Men
1997-07,1997,Jul,89888,Men
1997-08,1997,Aug,89982,Men
1997-09,1997,Sep,90068,Men
1997-10,1997,Oct,90140,Men
1997-11,1997,Nov,90251,Men
1997-12,1997,Dec,90339,Men
1998-01,1998,Jan,90391,Men
1998-02,1998,Feb,90476,Men
1998-03,1998,Mar,90502,Men
1998-04,1998,Apr,90580,Men
1998-05,1998,May,90622,Men
1998-06,1998,Jun,90700,Men
1998-07,1998,Jul,90802,Men
1998-08,1998,Aug,90889,Men
1998-09,1998,Sep,91003,Men
1998-10,1998,Oct,91101,Men
1998-11,1998,Nov,91192,Men
1998-12,1998,Dec,91220,Men
1999-01,1999,Jan,91124,Men
1999-02,1999,Feb,91189,Men
1999-03,1999,Mar,91215,Men
1999-04,1999,Apr,91302,Men
1999-05,1999,May,91368,Men
1999-06,1999,Jun,91487,Men
1999-07,1999,Jul,91561,Men
1999-08,1999,Aug,91692,Men
1999-09,1999,Sep,91793,Men
1999-10,1999,Oct,91896,Men
1999-11,1999,Nov,91986,Men
1999-12,1999,Dec,92052,Men
2000-01,2000,Jan,93203,Men
2000-02,2000,Feb,93256,Men
2000-03,2000,Mar,93332,Men
2000-04,2000,Apr,93540,Men
2000-05,2000,May,93685,Men
2000-06,2000,Jun,93859,Men
2000-07,2000,Jul,93967,Men
2000-08,2000,Aug,94102,Men
2000-09,2000,Sep,94229,Men
2000-10,2000,Oct,94351,Men
2000-11,2000,Nov,94504,Men
2000-12,2000,Dec,94468,Men
2001-01,2001,Jan,94506,Men
2001-02,2001,Feb,94616,Men
2001-03,2001,Mar,94717,Men
2001-04,2001,Apr,94897,Men
2001-05,2001,May,95054,Men
2001-06,2001,Jun,95143,Men
2001-07,2001,Jul,95259,Men
2001-08,2001,Aug,95381,Men
2001-09,2001,Sep,95503,Men
2001-10,2001,Oct,95609,Men
2001-11,2001,Nov,95689,Men
2001-12,2001,Dec,95794,Men
2002-01,2002,Jan,95875,Men
2002-02,2002,Feb,95929,Men
2002-03,2002,Mar,95999,Men
2002-04,2002,Apr,96116,Men
2002-05,2002,May,96205,Men
2002-06,2002,Jun,96375,Men
2002-07,2002,Jul,96468,Men
2002-08,2002,Aug,96552,Men
2002-09,2002,Sep,96732,Men
2002-10,2002,Oct,96860,Men
2002-11,2002,Nov,97022,Men
2002-12,2002,Dec,97139,Men
2003-01,2003,Jan,97635,Men
2003-02,2003,Feb,97762,Men
2003-03,2003,Mar,97869,Men
2003-04,2003,Apr,97979,Men
2003-05,2003,May,98083,Men
2003-06,2003,Jun,98196,Men
2003-07,2003,Jul,98304,Men
2003-08,2003,Aug,98434,Men
2003-09,2003,Sep,98568,Men
2003-10,2003,Oct,98696,Men
2003-11,2003,Nov,98814,Men
2003-12,2003,Dec,98927,Men
2004-01,2004,Jan,98866,Men
2004-02,2004,Feb,98966,Men
2004-03,2004,Mar,99065,Men
2004-04,2004,Apr,99170,Men
2004-05,2004,May,99279,Men
2004-06,2004,Jun,99396,Men
2004-07,2004,Jul,99512,Men
2004-08,2004,Aug,99642,Men
2004-09,2004,Sep,99776,Men
2004-10,2004,Oct,99904,Men
2004-11,2004,Nov,100017,Men
2004-12,2004,Dec,100126,Men
2005-01,2005,Jan,100219,Men
2005-02,2005,Feb,100321,Men
2005-03,2005,Mar,100419,Men
2005-04,2005,Apr,100520,Men
2005-05,2005,May,100634,Men
2005-06,2005,Jun,100754,Men
2005-07,2005,Jul,100874,Men
2005-08,2005,Aug,101004,Men
2005-09,2005,Sep,101136,Men
2005-10,2005,Oct,101265,Men
2005-11,2005,Nov,101383,Men
2005-12,2005,Dec,101489,Men
2006-01,2006,Jan,101560,Men
2006-02,2006,Feb,101657,Men
2006-03,2006,Mar,101754,Men
2006-04,2006,Apr,101857,Men
2006-05,2006,May,101963,Men
2006-06,2006,Jun,102075,Men
2006-07,2006,Jul,102187,Men
2006-08,2006,Aug,102308,Men
2006-09,2006,Sep,102428,Men
2006-10,2006,Oct,102549,Men
2006-11,2006,Nov,102656,Men
2006-12,2006,Dec,102751,Men
2007-01,2007,Jan,102956,Men
2007-02,2007,Feb,103046,Men
2007-03,2007,Mar,103143,Men
2007-04,2007,Apr,103248,Men
2007-05,2007,May,103361,Men
2007-06,2007,Jun,103477,Men
2007-07,2007,Jul,103598,Men
2007-08,2007,Aug,103723,Men
2007-09,2007,Sep,103847,Men
2007-10,2007,Oct,103973,Men
2007-11,2007,Nov,104087,Men
2007-12,2007,Dec,104197,Men
2008-01,2008,Jan,103866,Men
2008-02,2008,Feb,103961,Men
2008-03,2008,Mar,104052,Men
2008-04,2008,Apr,104152,Men
2008-05,2008,May,104258,Men
2008-06,2008,Jun,104371,Men
2008-07,2008,Jul,104490,Men
2008-08,2008,Aug,104613,Men
2008-09,2008,Sep,104741,Men
2008-10,2008,Oct,104869,Men
2008-11,2008,Nov,104978,Men
2008-12,2008,Dec,105083,Men
2009-01,2009,Jan,104902,Men
2009-02,2009,Feb,104999,Men
2009-03,2009,Mar,105095,Men
2009-04,2009,Apr,105196,Men
2009-05,2009,May,105299,Men
2009-06,2009,Jun,105412,Men
2009-07,2009,Jul,105530,Men
2009-08,2009,Aug,105651,Men
2009-09,2009,Sep,105780,Men
2009-10,2009,Oct,105906,Men
2009-11,2009,Nov,106018,Men
2009-12,2009,Dec,106125,Men
2010-01,2010,Jan,105998,Men
2010-02,2010,Feb,106100,Men
2010-03,2010,Mar,106198,Men
2010-04,2010,Apr,106301,Men
2010-05,2010,May,106407,Men
2010-06,2010,Jun,106522,Men
2010-07,2010,Jul,106641,Men
2010-08,2010,Aug,106761,Men
2010-09,2010,Sep,106887,Men
2010-10,2010,Oct,107007,Men
2010-11,2010,Nov,107114,Men
2010-12,2010,Dec,107216,Men
2011-01,2011,Jan,107203,Men
2011-02,2011,Feb,107292,Men
2011-03,2011,Mar,107381,Men
2011-04,2011,Apr,107469,Men
2011-05,2011,May,107566,Men
2011-06,2011,Jun,107668,Men
2011-07,2011,Jul,107773,Men
2011-08,2011,Aug,107884,Men
2011-09,2011,Sep,107994,Men
2011-10,2011,Oct,108104,Men
2011-11,2011,Nov,108203,Men
2011-12,2011,Dec,108290,Men
2012-01,2012,Jan,108087,Men
2012-02,2012,Feb,108188,Men
2012-03,2012,Mar,108289,Men
2012-04,2012,Apr,108396,Men
2012-05,2012,May,108503,Men
2012-06,2012,Jun,108613,Men
2012-07,2012,Jul,108727,Men
2012-08,2012,Aug,108851,Men
2012-09,2012,Sep,108973,Men
2012-10,2012,Oct,109096,Men
2012-11,2012,Nov,109206,Men
2012-12,2012,Dec,109308,Men
2013-01,2013,Jan,109448,Men
2013-02,2013,Feb,109541,Men
2013-03,2013,Mar,109635,Men
2013-04,2013,Apr,109736,Men
2013-05,2013,May,109839,Men
2013-06,2013,Jun,109943,Men
2013-07,2013,Jul,110054,Men
2013-08,2013,Aug,110172,Men
2013-09,2013,Sep,110292,Men
2013-10,2013,Oct,110414,Men
2013-11,2013,Nov,110515,Men
2013-12,2013,Dec,110613,Men
2014-01,2014,Jan,110746,Men
2014-02,2014,Feb,110838,Men
2014-03,2014,Mar,110930,Men
2014-04,2014,Apr,111027,Men
2014-05,2014,May,111126,Men
2014-06,2014,Jun,111230,Men
2014-07,2014,Jul,111342,Men
2014-08,2014,Aug,111451,Men
2014-09,2014,Sep,111567,Men
2014-10,2014,Oct,111679,Men
2014-11,2014,Nov,111778,Men
2014-12,2014,Dec,111875,Men
2015-01,2015,Jan,112117,Men
2015-02,2015,Feb,112209,Men
2015-03,2015,Mar,112304,Men
2015-04,2015,Apr,112400,Men
2015-05,2015,May,112498,Men
2015-06,2015,Jun,112605,Men
2015-07,2015,Jul,112714,Men
2015-08,2015,Aug,112825,Men
2015-09,2015,Sep,112940,Men
2015-10,2015,Oct,113049,Men
2015-11,2015,Nov,113149,Men
2015-12,2015,Dec,113241,Men
2016-01,2016,Jan,113483,Men
2016-02,2016,Feb,113566,Men
2016-03,2016,Mar,113653,Men
2016-04,2016,Apr,113746,Men
2016-05,2016,May,113844,Men
2016-06,2016,Jun,113951,Men
2016-07,2016,Jul,114058,Men
2016-08,2016,Aug,114173,Men
2016-09,2016,Sep,114289,Men
2016-10,2016,Oct,114401,Men
2016-11,2016,Nov,114506,Men
2016-12,2016,Dec,114603,Men
2017-01,2017,Jan,114297,Men
2017-02,2017,Feb,114375,Men
2017-03,2017,Mar,114455,Men
2017-04,2017,Apr,114538,Men
2017-05,2017,May,114627,Men
2017-06,2017,Jun,114721,Men
2017-07,2017,Jul,114817,Men
2017-08,2017,Aug,114918,Men
2017-09,2017,Sep,115020,Men
2017-10,2017,Oct,115120,Men
2017-11,2017,Nov,115212,Men
2017-12,2017,Dec,115292,Men
2018-01,2018,Jan,115669,Men
2018-02,2018,Feb,115748,Men
2018-03,2018,Mar,115832,Men
2018-04,2018,Apr,115921,Men
2018-05,2018,May,116017,Men
2018-06,2018,Jun,116115,Men
2018-07,2018,Jul,116220,Men
2018-08,2018,Aug,116328,Men
2018-09,2018,Sep,116437,Men
2018-10,2018,Oct,116546,Men
2018-11,2018,Nov,116646,Men
2018-12,2018,Dec,116739,Men
2019-01,2019,Jan,116436,Men
2019-02,2019,Feb,116513,Men
2019-03,2019,Mar,116586,Men
2019-04,2019,Apr,116665,Men
2019-05,2019,May,116752,Men
2019-06,2019,Jun,116843,Men
2019-07,2019,Jul,116939,Men
2019-08,2019,Aug,117040,Men
2019-09,2019,Sep,117140,Men
2019-10,2019,Oct,117242,Men
2019-11,2019,Nov,117331,Men
2019-12,2019,Dec,117413,Men
2020-01,2020,Jan,117110,Men
2020-02,2020,Feb,117181,Men
2020-03,2020,Mar,117254,Men
2020-04,2020,Apr,117330,Men
2020-05,2020,May,117410,Men
2020-06,2020,Jun,117492,Men
2020-07,2020,Jul,117580,Men
2020-08,2020,Aug,117672,Men
2020-09,2020,Sep,117763,Men
2020-10,2020,Oct,117854,Men
2020-11,2020,Nov,117936,Men
2020-12,2020,Dec,118010,Men
2021-01,2021,Jan,117864,Men
2021-02,2021,Feb,117902,Men
2021-03,2021,Mar,117949,Men
2021-04,2021,Apr,118003,Men
2021-05,2021,May,118059,Men
2021-06,2021,Jun,118125,Men
2021-07,2021,Jul,118192,Men
2021-08,2021,Aug,118261,Men
2021-09,2021,Sep,118337,Men
2021-10,2021,Oct,118406,Men
2021-11,2021,Nov,118466,Men
2021-12,2021,Dec,118520,Men
2022-01,2022,Jan,119612,Men
2022-02,2022,Feb,119669,Men
2022-03,2022,Mar,119726,Men
2022-04,2022,Apr,119780,Men
2022-05,2022,May,119831,Men
2022-06,2022,Jun,119899,Men
2022-07,2022,Jul,119977,Men
2022-08,2022,Aug,120058,Men
2022-09,2022,Sep,120140,Men
2022-10,2022,Oct,120225,Men
2022-11,2022,Nov,120301,Men
2022-12,2022,Dec,120360,Men
2023-01,2023,Jan,121283,Men
2023-02,2023,Feb,121346,Men
2023-03,2023,Mar,121415,Men
2023-04,2023,Apr,121488,Men
2023-05,2023,May,121565,Men
2023-06,2023,Jun,121646,Men
2023-07,2023,Jul,121735,Men
2023-08,2023,Aug,121832,Men
