yearAndMonth,Year,Month,Employment Level (in thousands),Gender,Employment Rate (in percentage)
1990-10,1990,Oct,61606,Men,73.9
1990-11,1990,Nov,61545,Men,73.7
1990-12,1990,Dec,61506,Men,73.6
1991-01,1991,Jan,61383,Men,73.4
1991-02,1991,Feb,61117,Men,73.0
1991-03,1991,Mar,61144,Men,73.0
1991-04,1991,Apr,61280,Men,73.1
1991-05,1991,May,61052,Men,72.7
1991-06,1991,Jun,61147,Men,72.7
1991-07,1991,Jul,61179,Men,72.7
1991-08,1991,Aug,61122,Men,72.5
1991-09,1991,Sep,61279,Men,72.6
1991-10,1991,Oct,61174,Men,72.4
1991-11,1991,Nov,61201,Men,72.3
1991-12,1991,Dec,61074,Men,72.1
1992-01,1992,Jan,61116,Men,72.1
1992-02,1992,Feb,61062,Men,71.9
1992-03,1992,Mar,61363,Men,72.2
1992-04,1992,Apr,61468,Men,72.3
1992-05,1992,May,61513,Men,72.3
1992-06,1992,Jun,61537,Men,72.2
1992-07,1992,Jul,61641,Men,72.3
1992-08,1992,Aug,61681,Men,72.3
1992-09,1992,Sep,61663,Men,72.2
1992-10,1992,Oct,61550,Men,71.9
1992-11,1992,Nov,61644,Men,72.0
1992-12,1992,Dec,61721,Men,72.0
1993-01,1993,Jan,61895,Men,72.1
1993-02,1993,Feb,61963,Men,72.1
1993-03,1993,Mar,62007,Men,72.1
1993-04,1993,Apr,62032,Men,72.1
1993-05,1993,May,62309,Men,72.3
1993-06,1993,Jun,62409,Men,72.4
1993-07,1993,Jul,62497,Men,72.4
1993-08,1993,Aug,62634,Men,72.6
1993-09,1993,Sep,62437,Men,72.3
1993-10,1993,Oct,62614,Men,72.4
1993-11,1993,Nov,62732,Men,72.5
1993-12,1993,Dec,62760,Men,72.4
1994-01,1994,Jan,62798,Men,72.4
1994-02,1994,Feb,62708,Men,72.2
1994-03,1994,Mar,62780,Men,72.2
1994-04,1994,Apr,62906,Men,72.4
1994-05,1994,May,63116,Men,72.5
1994-06,1994,Jun,63041,Men,72.4
1994-07,1994,Jul,63034,Men,72.4
1994-08,1994,Aug,63294,Men,72.5
1994-09,1994,Sep,63631,Men,72.9
1994-10,1994,Oct,63818,Men,73.0
1994-11,1994,Nov,64080,Men,73.2
1994-12,1994,Dec,64359,Men,73.5
1995-01,1995,Jan,64185,Men,73.3
1995-02,1995,Feb,64378,Men,73.5
1995-03,1995,Mar,64321,Men,73.4
1995-04,1995,Apr,64165,Men,73.2
1995-05,1995,May,63829,Men,72.8
1995-06,1995,Jun,63992,Men,72.9
1995-07,1995,Jul,63962,Men,72.8
1995-08,1995,Aug,63875,Men,72.7
1995-09,1995,Sep,64179,Men,73.0
1995-10,1995,Oct,64272,Men,73.0
1995-11,1995,Nov,63931,Men,72.6
1995-12,1995,Dec,64041,Men,72.6
1996-01,1996,Jan,64180,Men,72.7
1996-02,1996,Feb,64398,Men,72.9
1996-03,1996,Mar,64506,Men,73.0
1996-04,1996,Apr,64481,Men,72.9
1996-05,1996,May,64683,Men,73.1
1996-06,1996,Jun,64940,Men,73.3
1996-07,1996,Jul,65068,Men,73.4
1996-08,1996,Aug,65216,Men,73.6
1996-09,1996,Sep,65169,Men,73.4
1996-10,1996,Oct,65460,Men,73.7
1996-11,1996,Nov,65320,Men,73.4
1996-12,1996,Dec,65435,Men,73.5
1997-01,1997,Jan,65679,Men,73.4
1997-02,1997,Feb,65758,Men,73.4
1997-03,1997,Mar,65974,Men,73.6
1997-04,1997,Apr,66092,Men,73.7
1997-05,1997,May,66328,Men,73.9
1997-06,1997,Jun,66308,Men,73.8
1997-07,1997,Jul,66422,Men,73.9
1997-08,1997,Aug,66508,Men,73.9
1997-09,1997,Sep,66483,Men,73.8
1997-10,1997,Oct,66511,Men,73.8
1997-11,1997,Nov,66765,Men,74.0
1997-12,1997,Dec,66643,Men,73.8
1998-01,1998,Jan,66750,Men,73.8
1998-02,1998,Feb,66856,Men,73.9
1998-03,1998,Mar,66721,Men,73.7
1998-04,1998,Apr,67151,Men,74.1
1998-05,1998,May,67164,Men,74.1
1998-06,1998,Jun,67054,Men,73.9
1998-07,1998,Jul,67119,Men,73.9
1998-08,1998,Aug,66985,Men,73.7
1998-09,1998,Sep,67254,Men,73.9
1998-10,1998,Oct,67433,Men,74.0
1998-11,1998,Nov,67591,Men,74.1
1998-12,1998,Dec,67548,Men,74.0
1999-01,1999,Jan,67679,Men,74.3
1999-02,1999,Feb,67498,Men,74.0
1999-03,1999,Mar,67660,Men,74.2
1999-04,1999,Apr,67542,Men,74.0
1999-05,1999,May,67539,Men,73.9
1999-06,1999,Jun,67700,Men,74.0
1999-07,1999,Jul,67731,Men,74.0
1999-08,1999,Aug,67768,Men,73.9
1999-09,1999,Sep,67882,Men,74.0
1999-10,1999,Oct,67840,Men,73.8
1999-11,1999,Nov,68094,Men,74.0
1999-12,1999,Dec,68217,Men,74.1
2000-01,2000,Jan,69419,Men,74.5
2000-02,2000,Feb,69505,Men,74.5
2000-03,2000,Mar,69482,Men,74.4
2000-04,2000,Apr,69519,Men,74.3
2000-05,2000,May,69399,Men,74.1
2000-06,2000,Jun,69629,Men,74.2
2000-07,2000,Jul,69525,Men,74.0
2000-08,2000,Aug,69823,Men,74.2
2000-09,2000,Sep,69700,Men,74.0
2000-10,2000,Oct,69762,Men,73.9
2000-11,2000,Nov,69910,Men,74.0
2000-12,2000,Dec,69939,Men,74.0
2001-01,2001,Jan,70064,Men,74.1
2001-02,2001,Feb,69959,Men,73.9
2001-03,2001,Mar,69881,Men,73.8
2001-04,2001,Apr,69916,Men,73.7
2001-05,2001,May,69865,Men,73.5
2001-06,2001,Jun,69690,Men,73.2
2001-07,2001,Jul,69808,Men,73.3
2001-08,2001,Aug,69585,Men,73.0
2001-09,2001,Sep,69933,Men,73.2
2001-10,2001,Oct,69621,Men,72.8
2001-11,2001,Nov,69444,Men,72.6
2001-12,2001,Dec,69551,Men,72.6
2002-01,2002,Jan,69308,Men,72.3
2002-02,2002,Feb,69534,Men,72.5
2002-03,2002,Mar,69480,Men,72.4
2002-04,2002,Apr,69574,Men,72.4
2002-05,2002,May,69981,Men,72.7
2002-06,2002,Jun,69769,Men,72.4
2002-07,2002,Jul,69806,Men,72.4
2002-08,2002,Aug,69937,Men,72.4
2002-09,2002,Sep,70207,Men,72.6
2002-10,2002,Oct,69948,Men,72.2
2002-11,2002,Nov,69615,Men,71.8
2002-12,2002,Dec,69620,Men,71.7
2003-01,2003,Jan,69919,Men,71.6
2003-02,2003,Feb,70262,Men,71.9
2003-03,2003,Mar,70243,Men,71.8
2003-04,2003,Apr,70311,Men,71.8
2003-05,2003,May,70215,Men,71.6
2003-06,2003,Jun,70159,Men,71.4
2003-07,2003,Jul,70190,Men,71.4
2003-08,2003,Aug,70237,Men,71.4
2003-09,2003,Sep,70631,Men,71.7
2003-10,2003,Oct,70685,Men,71.6
2003-11,2003,Nov,70935,Men,71.8
2003-12,2003,Dec,71170,Men,71.9
2004-01,2004,Jan,71318,Men,72.1
2004-02,2004,Feb,71122,Men,71.9
2004-03,2004,Mar,71155,Men,71.8
2004-04,2004,Apr,71121,Men,71.7
2004-05,2004,May,71180,Men,71.7
2004-06,2004,Jun,71562,Men,72.0
2004-07,2004,Jul,71780,Men,72.1
2004-08,2004,Aug,71808,Men,72.1
2004-09,2004,Sep,71744,Men,71.9
2004-10,2004,Oct,71860,Men,71.9
2004-11,2004,Nov,72110,Men,72.1
2004-12,2004,Dec,72058,Men,72.0
2005-01,2005,Jan,72063,Men,71.9
2005-02,2005,Feb,72299,Men,72.1
2005-03,2005,Mar,72478,Men,72.2
2005-04,2005,Apr,72860,Men,72.5
2005-05,2005,May,73133,Men,72.7
2005-06,2005,Jun,73223,Men,72.7
2005-07,2005,Jul,73337,Men,72.7
2005-08,2005,Aug,73513,Men,72.8
2005-09,2005,Sep,73333,Men,72.5
2005-10,2005,Oct,73445,Men,72.5
2005-11,2005,Nov,73341,Men,72.3
2005-12,2005,Dec,73467,Men,72.4
2006-01,2006,Jan,73892,Men,72.8
2006-02,2006,Feb,73972,Men,72.8
2006-03,2006,Mar,74228,Men,72.9
2006-04,2006,Apr,74204,Men,72.9
2006-05,2006,May,74229,Men,72.8
2006-06,2006,Jun,74261,Men,72.8
2006-07,2006,Jul,74011,Men,72.4
2006-08,2006,Aug,74384,Men,72.7
2006-09,2006,Sep,74866,Men,73.1
2006-10,2006,Oct,74833,Men,73.0
2006-11,2006,Nov,74962,Men,73.0
2006-12,2006,Dec,75232,Men,73.2
2007-01,2007,Jan,75238,Men,73.1
2007-02,2007,Feb,75239,Men,73.0
2007-03,2007,Mar,75386,Men,73.1
2007-04,2007,Apr,75342,Men,73.0
2007-05,2007,May,75386,Men,72.9
2007-06,2007,Jun,75327,Men,72.8
2007-07,2007,Jul,75247,Men,72.6
2007-08,2007,Aug,75195,Men,72.5
2007-09,2007,Sep,75273,Men,72.5
2007-10,2007,Oct,75146,Men,72.3
2007-11,2007,Nov,75683,Men,72.7
2007-12,2007,Dec,75510,Men,72.5
2008-01,2008,Jan,75551,Men,72.7
2008-02,2008,Feb,75450,Men,72.6
2008-03,2008,Mar,75294,Men,72.4
2008-04,2008,Apr,75182,Men,72.2
2008-05,2008,May,74953,Men,71.9
2008-06,2008,Jun,74975,Men,71.8
2008-07,2008,Jul,74950,Men,71.7
2008-08,2008,Aug,74658,Men,71.4
2008-09,2008,Sep,74456,Men,71.1
2008-10,2008,Oct,74263,Men,70.8
2008-11,2008,Nov,73943,Men,70.4
2008-12,2008,Dec,73311,Men,69.8
2009-01,2009,Jan,72724,Men,69.3
2009-02,2009,Feb,72260,Men,68.8
2009-03,2009,Mar,71629,Men,68.2
2009-04,2009,Apr,71599,Men,68.1
2009-05,2009,May,71410,Men,67.8
2009-06,2009,Jun,71326,Men,67.7
2009-07,2009,Jul,71273,Men,67.5
2009-08,2009,Aug,71111,Men,67.3
2009-09,2009,Sep,70844,Men,67.0
2009-10,2009,Oct,70713,Men,66.8
2009-11,2009,Nov,70774,Men,66.8
2009-12,2009,Dec,70479,Men,66.4
2010-01,2010,Jan,70509,Men,66.5
2010-02,2010,Feb,70603,Men,66.5
2010-03,2010,Mar,70877,Men,66.7
2010-04,2010,Apr,71352,Men,67.1
2010-05,2010,May,71374,Men,67.1
2010-06,2010,Jun,71345,Men,67.0
2010-07,2010,Jul,71448,Men,67.0
2010-08,2010,Aug,71608,Men,67.1
2010-09,2010,Sep,71588,Men,67.0
2010-10,2010,Oct,71434,Men,66.8
2010-11,2010,Nov,71151,Men,66.4
2010-12,2010,Dec,71482,Men,66.7
2011-01,2011,Jan,71546,Men,66.7
2011-02,2011,Feb,71819,Men,66.9
2011-03,2011,Mar,71824,Men,66.9
2011-04,2011,Apr,71926,Men,66.9
2011-05,2011,May,72099,Men,67.0
2011-06,2011,Jun,71970,Men,66.8
2011-07,2011,Jul,71984,Men,66.8
2011-08,2011,Aug,72231,Men,67.0
2011-09,2011,Sep,72410,Men,67.0
2011-10,2011,Oct,72435,Men,67.0
2011-11,2011,Nov,72926,Men,67.4
2011-12,2011,Dec,73084,Men,67.5
2012-01,2012,Jan,73055,Men,67.6
2012-02,2012,Feb,73088,Men,67.6
2012-03,2012,Mar,73144,Men,67.5
2012-04,2012,Apr,73080,Men,67.4
2012-05,2012,May,73218,Men,67.5
2012-06,2012,Jun,73249,Men,67.4
2012-07,2012,Jul,73265,Men,67.4
2012-08,2012,Aug,73240,Men,67.3
2012-09,2012,Sep,73704,Men,67.6
2012-10,2012,Oct,73981,Men,67.8
2012-11,2012,Nov,73907,Men,67.7
2012-12,2012,Dec,74024,Men,67.7
2013-01,2013,Jan,74011,Men,67.6
2013-02,2013,Feb,74128,Men,67.7
2013-03,2013,Mar,74107,Men,67.6
2013-04,2013,Apr,74082,Men,67.5
2013-05,2013,May,74111,Men,67.5
2013-06,2013,Jun,74203,Men,67.5
2013-07,2013,Jul,74254,Men,67.5
2013-08,2013,Aug,74085,Men,67.2
2013-09,2013,Sep,74211,Men,67.3
2013-10,2013,Oct,73882,Men,66.9
2013-11,2013,Nov,74540,Men,67.4
2013-12,2013,Dec,74628,Men,67.5
2014-01,2014,Jan,74799,Men,67.5
2014-02,2014,Feb,74680,Men,67.4
2014-03,2014,Mar,75157,Men,67.8
2014-04,2014,Apr,75057,Men,67.6
2014-05,2014,May,75112,Men,67.6
2014-06,2014,Jun,75481,Men,67.9
2014-07,2014,Jul,75636,Men,67.9
2014-08,2014,Aug,75745,Men,68.0
2014-09,2014,Sep,76021,Men,68.1
2014-10,2014,Oct,76056,Men,68.1
2014-11,2014,Nov,75837,Men,67.8
2014-12,2014,Dec,76209,Men,68.1
2015-01,2015,Jan,76359,Men,68.1
2015-02,2015,Feb,76407,Men,68.1
2015-03,2015,Mar,76504,Men,68.1
2015-04,2015,Apr,76705,Men,68.2
2015-05,2015,May,76785,Men,68.3
2015-06,2015,Jun,76803,Men,68.2
2015-07,2015,Jul,76929,Men,68.3
2015-08,2015,Aug,76979,Men,68.2
2015-09,2015,Sep,76875,Men,68.1
2015-10,2015,Oct,76958,Men,68.1
2015-11,2015,Nov,76856,Men,67.9
2015-12,2015,Dec,77266,Men,68.2
2016-01,2016,Jan,77659,Men,68.4
2016-02,2016,Feb,77887,Men,68.6
2016-03,2016,Mar,78034,Men,68.7
2016-04,2016,Apr,78002,Men,68.6
2016-05,2016,May,77852,Men,68.4
2016-06,2016,Jun,78207,Men,68.6
2016-07,2016,Jul,78091,Men,68.5
2016-08,2016,Aug,78250,Men,68.5
2016-09,2016,Sep,78204,Men,68.4
2016-10,2016,Oct,78203,Men,68.4
2016-11,2016,Nov,78280,Men,68.4
2016-12,2016,Dec,78402,Men,68.4
2017-01,2017,Jan,78463,Men,68.6
2017-02,2017,Feb,78454,Men,68.6
2017-03,2017,Mar,78548,Men,68.6
2017-04,2017,Apr,78863,Men,68.9
2017-05,2017,May,78791,Men,68.7
2017-06,2017,Jun,78863,Men,68.7
2017-07,2017,Jul,78881,Men,68.7
2017-08,2017,Aug,78941,Men,68.7
2017-09,2017,Sep,79386,Men,69.0
2017-10,2017,Oct,79188,Men,68.8
2017-11,2017,Nov,79254,Men,68.8
2017-12,2017,Dec,79418,Men,68.9
2018-01,2018,Jan,79690,Men,68.9
2018-02,2018,Feb,80100,Men,69.2
2018-03,2018,Mar,80104,Men,69.2
2018-04,2018,Apr,80159,Men,69.1
2018-05,2018,May,80347,Men,69.3
2018-06,2018,Jun,80149,Men,69.0
2018-07,2018,Jul,80274,Men,69.1
2018-08,2018,Aug,80172,Men,68.9
2018-09,2018,Sep,80203,Men,68.9
2018-10,2018,Oct,80323,Men,68.9
2018-11,2018,Nov,80573,Men,69.1
2018-12,2018,Dec,80459,Men,68.9
2019-01,2019,Jan,80413,Men,69.1
2019-02,2019,Feb,80628,Men,69.2
2019-03,2019,Mar,80577,Men,69.1
2019-04,2019,Apr,80641,Men,69.1
2019-05,2019,May,80853,Men,69.3
2019-06,2019,Jun,80863,Men,69.2
2019-07,2019,Jul,81051,Men,69.3
2019-08,2019,Aug,81053,Men,69.3
2019-09,2019,Sep,81098,Men,69.2
2019-10,2019,Oct,81106,Men,69.2
2019-11,2019,Nov,81393,Men,69.4
2019-12,2019,Dec,81361,Men,69.3
2020-01,2020,Jan,81236,Men,69.4
2020-02,2020,Feb,81066,Men,69.2
2020-03,2020,Mar,79709,Men,68.0
2020-04,2020,Apr,69974,Men,59.6
2020-05,2020,May,71751,Men,61.1
2020-06,2020,Jun,73726,Men,62.7
2020-07,2020,Jul,74268,Men,63.2
2020-08,2020,Aug,75977,Men,64.6
2020-09,2020,Sep,76214,Men,64.7
2020-10,2020,Oct,76995,Men,65.3
2020-11,2020,Nov,76839,Men,65.2
2020-12,2020,Dec,77001,Men,65.2
2021-01,2021,Jan,77088,Men,65.4
2021-02,2021,Feb,77000,Men,65.3
2021-03,2021,Mar,77107,Men,65.4
2021-04,2021,Apr,77380,Men,65.6
2021-05,2021,May,77478,Men,65.6
2021-06,2021,Jun,77742,Men,65.8
2021-07,2021,Jul,78248,Men,66.2
2021-08,2021,Aug,78617,Men,66.5
2021-09,2021,Sep,78975,Men,66.7
2021-10,2021,Oct,79228,Men,66.9
2021-11,2021,Nov,79851,Men,67.4
2021-12,2021,Dec,79958,Men,67.5
2022-01,2022,Jan,80695,Men,67.5
2022-02,2022,Feb,81293,Men,67.9
2022-03,2022,Mar,81389,Men,68.0
2022-04,2022,Apr,81236,Men,67.8
2022-05,2022,May,81331,Men,67.9
2022-06,2022,Jun,81210,Men,67.7
2022-07,2022,Jul,81185,Men,67.7
2022-08,2022,Aug,81263,Men,67.7
2022-09,2022,Sep,81816,Men,68.1
2022-10,2022,Oct,81776,Men,68.0
2022-11,2022,Nov,81698,Men,67.9
2022-12,2022,Dec,82033,Men,68.2
2023-01,2023,Jan,82324,Men,67.9
2023-02,2023,Feb,82407,Men,67.9
2023-03,2023,Mar,82816,Men,68.2
2023-04,2023,Apr,82661,Men,68.0
2023-05,2023,May,82526,Men,67.9
2023-06,2023,Jun,82868,Men,68.1
2023-07,2023,Jul,82922,Men,68.1
2023-08,2023,Aug,82777,Men,67.9
