yearAndMonth,Year,Month,Labour Force Level (in thousands),Gender
2011-02,2011,Feb,78824,Men
2011-03,2011,Mar,78775,Men
2011-04,2011,Apr,78982,Men
2011-05,2011,May,79095,Men
2011-06,2011,Jun,79056,Men
2011-07,2011,Jul,78958,Men
2011-08,2011,Aug,79141,Men
2011-09,2011,Sep,79271,Men
2011-10,2011,Oct,79242,Men
2011-11,2011,Nov,79472,Men
2011-12,2011,Dec,79459,Men
2012-01,2012,Jan,79184,Men
2012-02,2012,Feb,79214,Men
2012-03,2012,Mar,79255,Men
2012-04,2012,Apr,79088,Men
2012-05,2012,May,79315,Men
2012-06,2012,Jun,79400,Men
2012-07,2012,Jul,79340,Men
2012-08,2012,Aug,79221,Men
2012-09,2012,Sep,79516,Men
2012-10,2012,Oct,79747,Men
2012-11,2012,Nov,79613,Men
2012-12,2012,Dec,79765,Men
2013-01,2013,Jan,80028,Men
2013-02,2013,Feb,79737,Men
2013-03,2013,Mar,79619,Men
2013-04,2013,Apr,79790,Men
2013-05,2013,May,79803,Men
2013-06,2013,Jun,79828,Men
2013-07,2013,Jul,79810,Men
2013-08,2013,Aug,79740,Men
2013-09,2013,Sep,79863,Men
2013-10,2013,Oct,79353,Men
2013-11,2013,Nov,79831,Men
2013-12,2013,Dec,79613,Men
2014-01,2014,Jan,79778,Men
2014-02,2014,Feb,79709,Men
2014-03,2014,Mar,80015,Men
2014-04,2014,Apr,79728,Men
2014-05,2014,May,79852,Men
2014-06,2014,Jun,80066,Men
2014-07,2014,Jul,80167,Men
2014-08,2014,Aug,80347,Men
2014-09,2014,Sep,80279,Men
2014-10,2014,Oct,80118,Men
2014-11,2014,Nov,80202,Men
2014-12,2014,Dec,80412,Men
2015-01,2015,Jan,80628,Men
2015-02,2015,Feb,80586,Men
2015-03,2015,Mar,80578,Men
2015-04,2015,Apr,80773,Men
2015-05,2015,May,80965,Men
2015-06,2015,Jun,80707,Men
2015-07,2015,Jul,80777,Men
2015-08,2015,Aug,80766,Men
2015-09,2015,Sep,80640,Men
2015-10,2015,Oct,80729,Men
2015-11,2015,Nov,80692,Men
2015-12,2015,Dec,81030,Men
2016-01,2016,Jan,81151,Men
2016-02,2016,Feb,81502,Men
2016-03,2016,Mar,81702,Men
2016-04,2016,Apr,81826,Men
2016-05,2016,May,81463,Men
2016-06,2016,Jun,81875,Men
2016-07,2016,Jul,81901,Men
2016-08,2016,Aug,81926,Men
2016-09,2016,Sep,82036,Men
2016-10,2016,Oct,81956,Men
2016-11,2016,Nov,81848,Men
2016-12,2016,Dec,81981,Men
2017-01,2017,Jan,81950,Men
2017-02,2017,Feb,81931,Men
2017-03,2017,Mar,81951,Men
2017-04,2017,Apr,82102,Men
2017-05,2017,May,82001,Men
2017-06,2017,Jun,82085,Men
2017-07,2017,Jul,82153,Men
2017-08,2017,Aug,82336,Men
2017-09,2017,Sep,82628,Men
2017-10,2017,Oct,82411,Men
2017-11,2017,Nov,82392,Men
2017-12,2017,Dec,82549,Men
2018-01,2018,Jan,82768,Men
2018-02,2018,Feb,83083,Men
2018-03,2018,Mar,83116,Men
2018-04,2018,Apr,83279,Men
2018-05,2018,May,83319,Men
2018-06,2018,Jun,83216,Men
2018-07,2018,Jul,83087,Men
2018-08,2018,Aug,83070,Men
2018-09,2018,Sep,83132,Men
2018-10,2018,Oct,83313,Men
2018-11,2018,Nov,83393,Men
2018-12,2018,Dec,83495,Men
2019-01,2019,Jan,83458,Men
2019-02,2019,Feb,83434,Men
2019-03,2019,Mar,83549,Men
2019-04,2019,Apr,83479,Men
2019-05,2019,May,83658,Men
2019-06,2019,Jun,83613,Men
2019-07,2019,Jul,83844,Men
2019-08,2019,Aug,83881,Men
2019-09,2019,Sep,83856,Men
2019-10,2019,Oct,83938,Men
2019-11,2019,Nov,84126,Men
2019-12,2019,Dec,84026,Men
2020-01,2020,Jan,83892,Men
2020-02,2020,Feb,83771,Men
2020-03,2020,Mar,83104,Men
2020-04,2020,Apr,80445,Men
2020-05,2020,May,81127,Men
2020-06,2020,Jun,82006,Men
2020-07,2020,Jul,81927,Men
2020-08,2020,Aug,82508,Men
2020-09,2020,Sep,82264,Men
2020-10,2020,Oct,82539,Men
2020-11,2020,Nov,82299,Men
2020-12,2020,Dec,82289,Men
2021-01,2021,Jan,82067,Men
2021-02,2021,Feb,81907,Men
2021-03,2021,Mar,81899,Men
2021-04,2021,Apr,82339,Men
2021-05,2021,May,82295,Men
2021-06,2021,Jun,82593,Men
2021-07,2021,Jul,82684,Men
2021-08,2021,Aug,82802,Men
2021-09,2021,Sep,82878,Men
2021-10,2021,Oct,82759,Men
2021-11,2021,Nov,83107,Men
2021-12,2021,Dec,82968,Men
2022-01,2022,Jan,83885,Men
2022-02,2022,Feb,84264,Men
2022-03,2022,Mar,84266,Men
2022-04,2022,Apr,84200,Men
2022-05,2022,May,84165,Men
2022-06,2022,Jun,84029,Men
2022-07,2022,Jul,83905,Men
2022-08,2022,Aug,84192,Men
2022-09,2022,Sep,84602,Men
2022-10,2022,Oct,84606,Men
2022-11,2022,Nov,84525,Men
2022-12,2022,Dec,84694,Men
2023-01,2023,Jan,85084,Men
2023-02,2023,Feb,85210,Men
2023-03,2023,Mar,85696,Men
2023-04,2023,Apr,85439,Men
2023-05,2023,May,85487,Men
2023-06,2023,Jun,85774,Men
2023-07,2023,Jul,85739,Men
2023-08,2023,Aug,85934,Men
