yearAndMonth,Year,Month,Unemployment(in thousands)
1975-09,1975,Sep,80
1975-10,1975,Oct,80
1975-11,1975,Nov,79
1975-12,1975,Dec,79
1976-01,1976,Jan,79
1976-02,1976,Feb,79
1976-03,1976,Mar,79
1976-04,1976,Apr,79
1976-05,1976,May,79
1976-06,1976,Jun,79
1976-07,1976,Jul,79
1976-08,1976,Aug,79
1976-09,1976,Sep,79
1976-10,1976,Oct,79
1976-11,1976,Nov,80
1976-12,1976,Dec,79
1977-01,1977,Jan,79
1977-02,1977,Feb,79
1977-03,1977,Mar,79
1977-04,1977,Apr,79
1977-05,1977,May,79
1977-06,1977,Jun,79
1977-07,1977,Jul,79
1977-08,1977,Aug,79
1977-09,1977,Sep,79
1977-10,1977,Oct,79
1977-11,1977,Nov,79
1977-12,1977,Dec,80
1978-01,1978,Jan,79
1978-02,1978,Feb,79
1978-03,1978,Mar,79
1978-04,1978,Apr,79
1978-05,1978,May,79
1978-06,1978,Jun,79
1978-07,1978,Jul,79
1978-08,1978,Aug,79
1978-09,1978,Sep,79
1978-10,1978,Oct,79
1978-11,1978,Nov,80
1978-12,1978,Dec,80
1979-01,1979,Jan,80
1979-02,1979,Feb,80
1979-03,1979,Mar,79
1979-04,1979,Apr,79
1979-05,1979,May,79
1979-06,1979,Jun,79
1979-07,1979,Jul,79
1979-08,1979,Aug,79
1979-09,1979,Sep,79
1979-10,1979,Oct,79
1979-11,1979,Nov,79
1979-12,1979,Dec,79
1980-01,1980,Jan,79
1980-02,1980,Feb,79
1980-03,1980,Mar,79
1980-04,1980,Apr,79
1980-05,1980,May,79
1980-06,1980,Jun,79
1980-07,1980,Jul,79
1980-08,1980,Aug,79
1980-09,1980,Sep,79
1980-10,1980,Oct,79
1980-11,1980,Nov,79
1980-12,1980,Dec,79
1981-01,1981,Jan,79
1981-02,1981,Feb,79
1981-03,1981,Mar,79
1981-04,1981,Apr,79
1981-05,1981,May,79
1981-06,1981,Jun,78
1981-07,1981,Jul,78
1981-08,1981,Aug,78
1981-09,1981,Sep,78
1981-10,1981,Oct,78
1981-11,1981,Nov,78
1981-12,1981,Dec,78
1982-01,1982,Jan,78
1982-02,1982,Feb,78
1982-03,1982,Mar,78
1982-04,1982,Apr,78
1982-05,1982,May,78
1982-06,1982,Jun,78
1982-07,1982,Jul,78
1982-08,1982,Aug,78
1982-09,1982,Sep,78
1982-10,1982,Oct,78
1982-11,1982,Nov,78
1982-12,1982,Dec,78
1983-01,1983,Jan,78
1983-02,1983,Feb,78
1983-03,1983,Mar,78
1983-04,1983,Apr,78
1983-05,1983,May,78
1983-06,1983,Jun,78
1983-07,1983,Jul,78
1983-08,1983,Aug,78
1983-09,1983,Sep,78
1983-10,1983,Oct,78
1983-11,1983,Nov,78
1983-12,1983,Dec,78
1984-01,1984,Jan,78
1984-02,1984,Feb,78
1984-03,1984,Mar,78
1984-04,1984,Apr,78
1984-05,1984,May,78
1984-06,1984,Jun,78
1984-07,1984,Jul,78
1984-08,1984,Aug,78
1984-09,1984,Sep,78
1984-10,1984,Oct,78
1984-11,1984,Nov,78
1984-12,1984,Dec,78
1985-01,1985,Jan,78
