yearAndMonth,Year,Month,Unemployment(in thousands)
1984-01,1984,Jan,72
1984-02,1984,Feb,72
1984-03,1984,Mar,72
1984-04,1984,Apr,72
1984-05,1984,May,73
1984-06,1984,Jun,73
1984-07,1984,Jul,73
1984-08,1984,Aug,73
1984-09,1984,Sep,73
1984-10,1984,Oct,73
1984-11,1984,Nov,73
1984-12,1984,Dec,73
1985-01,1985,Jan,73
1985-02,1985,Feb,73
1985-03,1985,Mar,73
1985-04,1985,Apr,73
1985-05,1985,May,73
1985-06,1985,Jun,73
1985-07,1985,Jul,73
1985-08,1985,Aug,73
1985-09,1985,Sep,73
1985-10,1985,Oct,73
1985-11,1985,Nov,73
1985-12,1985,Dec,73
1986-01,1986,Jan,73
1986-02,1986,Feb,73
1986-03,1986,Mar,73
1986-04,1986,Apr,73
1986-05,1986,May,73
1986-06,1986,Jun,73
1986-07,1986,Jul,73
1986-08,1986,Aug,73
1986-09,1986,Sep,73
1986-10,1986,Oct,73
1986-11,1986,Nov,73
1986-12,1986,Dec,73
1987-01,1987,Jan,73
1987-02,1987,Feb,73
1987-03,1987,Mar,73
1987-04,1987,Apr,73
1987-05,1987,May,73
1987-06,1987,Jun,73
1987-07,1987,Jul,73
1987-08,1987,Aug,73
1987-09,1987,Sep,73
1987-10,1987,Oct,74
1987-11,1987,Nov,74
1987-12,1987,Dec,74
1988-01,1988,Jan,74
1988-02,1988,Feb,74
1988-03,1988,Mar,74
1988-04,1988,Apr,74
1988-05,1988,May,74
1988-06,1988,Jun,74
1988-07,1988,Jul,74
1988-08,1988,Aug,74
1988-09,1988,Sep,74
1988-10,1988,Oct,74
1988-11,1988,Nov,74
1988-12,1988,Dec,74
1989-01,1989,Jan,74
1989-02,1989,Feb,74
1989-03,1989,Mar,74
1989-04,1989,Apr,74
1989-05,1989,May,74
1989-06,1989,Jun,74
1989-07,1989,Jul,74
1989-08,1989,Aug,74
1989-09,1989,Sep,74
1989-10,1989,Oct,74
1989-11,1989,Nov,74
1989-12,1989,Dec,74
1990-01,1990,Jan,74
1990-02,1990,Feb,74
1990-03,1990,Mar,74
1990-04,1990,Apr,74
1990-05,1990,May,74
1990-06,1990,Jun,74
1990-07,1990,Jul,74
1990-08,1990,Aug,74
1990-09,1990,Sep,74
1990-10,1990,Oct,73
1990-11,1990,Nov,73
1990-12,1990,Dec,73
1991-01,1991,Jan,73
1991-02,1991,Feb,73
1991-03,1991,Mar,73
1991-04,1991,Apr,73
1991-05,1991,May,72
1991-06,1991,Jun,72
1991-07,1991,Jul,72
1991-08,1991,Aug,72
1991-09,1991,Sep,72
1991-10,1991,Oct,72
1991-11,1991,Nov,72
1991-12,1991,Dec,72
1992-01,1992,Jan,72
1992-02,1992,Feb,71
1992-03,1992,Mar,72
1992-04,1992,Apr,72
1992-05,1992,May,72
1992-06,1992,Jun,72
1992-07,1992,Jul,72
1992-08,1992,Aug,72
1992-09,1992,Sep,72
1992-10,1992,Oct,71
1992-11,1992,Nov,72
1992-12,1992,Dec,72
1993-01,1993,Jan,72
1993-02,1993,Feb,72
1993-03,1993,Mar,72
1993-04,1993,Apr,72
1993-05,1993,May,72
1993-06,1993,Jun,72
1993-07,1993,Jul,72
1993-08,1993,Aug,72
1993-09,1993,Sep,72
1993-10,1993,Oct,72
1993-11,1993,Nov,72
1993-12,1993,Dec,72
1994-01,1994,Jan,72
1994-02,1994,Feb,72
1994-03,1994,Mar,72
1994-04,1994,Apr,72
1994-05,1994,May,72
1994-06,1994,Jun,72
1994-07,1994,Jul,72
1994-08,1994,Aug,72
1994-09,1994,Sep,72
1994-10,1994,Oct,73
1994-11,1994,Nov,73
1994-12,1994,Dec,73
1995-01,1995,Jan,73
1995-02,1995,Feb,73
1995-03,1995,Mar,73
1995-04,1995,Apr,73
1995-05,1995,May,72
1995-06,1995,Jun,72
1995-07,1995,Jul,72
1995-08,1995,Aug,72
1995-09,1995,Sep,73
1995-10,1995,Oct,73
1995-11,1995,Nov,72
1995-12,1995,Dec,72
1996-01,1996,Jan,72
1996-02,1996,Feb,72
1996-03,1996,Mar,73
1996-04,1996,Apr,72
1996-05,1996,May,73
1996-06,1996,Jun,73
1996-07,1996,Jul,73
1996-08,1996,Aug,73
1996-09,1996,Sep,73
1996-10,1996,Oct,73
1996-11,1996,Nov,73
1996-12,1996,Dec,73
1997-01,1997,Jan,73
1997-02,1997,Feb,73
1997-03,1997,Mar,73
1997-04,1997,Apr,73
1997-05,1997,May,73
1997-06,1997,Jun,73
1997-07,1997,Jul,73
1997-08,1997,Aug,73
1997-09,1997,Sep,73
1997-10,1997,Oct,73
1997-11,1997,Nov,74
1997-12,1997,Dec,73
1998-01,1998,Jan,73
1998-02,1998,Feb,73
1998-03,1998,Mar,73
1998-04,1998,Apr,74
1998-05,1998,May,74
1998-06,1998,Jun,73
1998-07,1998,Jul,73
1998-08,1998,Aug,73
1998-09,1998,Sep,73
1998-10,1998,Oct,74
1998-11,1998,Nov,74
1998-12,1998,Dec,74
1999-01,1999,Jan,74
1999-02,1999,Feb,74
